"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Ylin lämpötila [°C]","Lämpötilan keskiarvo [°C]","Alin lämpötila [°C]","Suhteellisen kosteuden keskiarvo [%]","Kovin keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Keskituulen nopeus [m/s]","Tunnin sademäärä [mm]","Ilmanpaineen keskiarvo [hPa]","Kovin puuska [m/s]"
"Jyväskylä lentoasema","2024","3","7","21:00","-4.6","-4.7","-4.8","97","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","22:00","-4.7","-4.8","-4.9","97","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","7","23:00","-4.9","-5","-5","97","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","00:00","-4.9","-5","-5.1","97","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","01:00","-5","-5.1","-5.2","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","02:00","-5.2","-5.3","-5.3","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","03:00","-5.3","-5.3","-5.4","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","04:00","-5.3","-5.4","-5.4","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","05:00","-5.4","-5.4","-5.5","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","06:00","-5.3","-5.4","-5.5","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","07:00","-4.9","-5.1","-5.3","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","08:00","-4.3","-4.6","-4.9","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","09:00","-3.6","-4","-4.3","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","10:00","-3","-3.3","-3.6","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","11:00","-2.5","-2.8","-3.1","93","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","12:00","-1.9","-2.1","-2.6","83","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","13:00","-1.9","-2","-2.2","78","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","14:00","-1.4","-1.6","-1.9","77","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","15:00","-1.3","-1.4","-1.5","74","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","16:00","-1.3","-1.4","-1.6","76","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","17:00","-1.3","-1.5","-1.6","76","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","18:00","-1.4","-1.7","-1.9","76","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","19:00","-1.8","-2.1","-2.4","80","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","20:00","-2.1","-2.4","-2.6","83","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","21:00","-2.4","-2.6","-2.8","84","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","22:00","-2.4","-2.7","-2.9","84","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","8","23:00","-2.6","-2.8","-3","84","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","00:00","-2.9","-3","-3.2","84","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","01:00","-2.8","-3","-3.1","83","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","02:00","-3","-3.3","-3.5","85","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","03:00","-3.4","-3.5","-3.7","86","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","04:00","-3.5","-3.7","-3.8","86","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","05:00","-3.6","-3.8","-3.9","85","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","06:00","-3.6","-3.8","-4.1","84","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","07:00","-3.4","-3.6","-3.8","80","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","08:00","-3.2","-3.4","-3.6","80","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","09:00","-2.9","-3.1","-3.3","77","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","10:00","-2.5","-2.7","-2.9","73","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","11:00","-2.5","-2.6","-2.7","66","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","12:00","-2.2","-2.4","-2.6","63","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","13:00","-1.8","-1.9","-2.2","62","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","14:00","-1.6","-1.7","-1.9","62","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","15:00","-1.7","-1.9","-2.4","64","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","16:00","-1.8","-2","-2.2","68","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","17:00","-2","-2.5","-3.3","69","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","18:00","-3.4","-5","-6.1","77","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","19:00","-4.9","-5.7","-6.5","78","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","20:00","-3.7","-4.4","-6.3","73","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","21:00","-5.2","-6.1","-7.3","79","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","22:00","-4.1","-4.7","-6.7","78","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","9","23:00","-4.2","-4.9","-5.7","81","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","00:00","-4.5","-4.9","-5.8","84","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","01:00","-4.6","-4.8","-4.9","85","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","02:00","-4.9","-5.2","-5.6","87","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","03:00","-4.9","-5","-5.3","87","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","04:00","-4.5","-4.7","-4.9","86","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","05:00","-4.3","-4.5","-4.9","86","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","06:00","-3.9","-4.1","-4.5","85","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","07:00","-3.2","-3.5","-3.9","83","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","08:00","-2.1","-2.7","-3.4","82","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","09:00","-1.2","-1.7","-2.1","79","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","10:00","0.2","-0.5","-1.2","74","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","11:00","1.2","0.5","0","71","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","12:00","2.2","1.7","1.1","65","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","13:00","2.9","2.5","2.2","59","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","14:00","3","2.9","2.7","57","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","15:00","2.8","2.6","2.3","58","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","16:00","2.4","2.1","1.7","63","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","17:00","1.7","1.3","0.9","68","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","18:00","0.9","0.6","0.3","73","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","19:00","0.4","0.2","0","75","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","20:00","0","-0.2","-0.5","77","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","21:00","-0.4","-0.5","-0.7","76","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","22:00","-0.5","-0.6","-0.7","75","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","10","23:00","-0.6","-0.6","-0.7","73","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","00:00","-0.7","-0.8","-1.1","73","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","01:00","-1.1","-1.8","-2.3","77","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","02:00","-2.4","-2.8","-3.5","81","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","03:00","-3.5","-5","-5.9","90","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","04:00","-5.3","-5.8","-6.6","93","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","05:00","-6","-6.3","-7","94","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","06:00","-5.7","-7.3","-8.4","92","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","07:00","-5","-5.9","-6.9","90","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","08:00","-3","-4","-5.1","83","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","09:00","-1.5","-2.3","-3","76","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","10:00","-0.6","-1.1","-1.7","71","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","11:00","0.8","0","-0.6","66","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","12:00","2","1.2","0.4","61","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","14:00","2.7","2.3","1.6","53","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","15:00","2.4","2","1.4","54","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","16:00","1.4","-0.3","-1.5","64","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","17:00","-1.5","-2.1","-4.4","71","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","18:00","-4.3","-4.9","-5.8","85","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","19:00","-4.8","-5.6","-6.5","89","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","20:00","-6.5","-7.1","-7.6","93","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","21:00","-7.2","-8","-8.3","94","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","22:00","-8.3","-8.8","-9.2","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","11","23:00","-8.9","-9.3","-9.7","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","00:00","-9.7","-10.2","-10.7","94","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","01:00","-10.4","-10.8","-11.1","93","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","02:00","-10.7","-11.3","-11.7","93","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","03:00","-11.6","-11.9","-12.7","92","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","04:00","-12","-12.5","-13","91","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","05:00","-12","-13","-13.5","90","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","06:00","-11.2","-12.6","-13.3","90","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","07:00","-9","-10.6","-12","88","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","08:00","-6.3","-8.1","-9.3","87","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","09:00","-2.9","-4.8","-6.3","79","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","10:00","0.6","-0.9","-3.1","65","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","11:00","2.7","1.8","0.5","55","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","12:00","3.5","2.8","2.3","51","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","13:00","3.4","2.7","2.4","52","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","14:00","3.3","2.6","2.3","52","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","15:00","2.9","2.4","1.7","51","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","16:00","1.5","0.4","-1.1","59","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","17:00","-1.2","-1.8","-2.6","70","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","18:00","-2.6","-3.3","-4","77","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","19:00","-4","-4.7","-5.1","85","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","20:00","-5.1","-5.6","-6.4","88","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","21:00","-5.7","-6.5","-7.4","91","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","22:00","-5.8","-6","-6.2","92","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","12","23:00","-5.9","-6.9","-9.2","92","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","00:00","-8","-8.6","-9.5","94","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","01:00","-9.2","-9.6","-10.3","95","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","02:00","-9.4","-10.2","-11.1","94","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","03:00","-10.2","-10.8","-11.2","94","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","04:00","-10.5","-11","-11.6","93","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","05:00","-9.6","-10.7","-11.1","92","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","06:00","-8.5","-9.1","-9.6","91","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","07:00","-6.1","-7.9","-8.8","91","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","08:00","-2.7","-4.4","-6.6","83","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","09:00","-0.7","-2.2","-3.2","74","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","10:00","2.9","1.3","-0.8","65","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","11:00","3.3","2.8","2.3","64","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","12:00","3.4","2.8","2.2","68","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","13:00","2.4","2.3","2.2","75","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","14:00","2.5","2.3","1.8","75","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","15:00","2","1.8","1.5","75","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","16:00","1.5","1.3","1","75","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","17:00","1","0.7","0.5","80","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","18:00","0.9","0.7","0.6","78","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","19:00","0.7","0.5","0.4","79","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","20:00","0.5","0.4","0.3","83","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","21:00","0.4","0","-0.2","92","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","13","22:00","0","-0.2","-0.2","97","-","-","-","0.1","-","-"
"Jyväskylä lentoasema","2024","3","13","23:00","0.2","0.1","-0.1","98","-","-","-","0.2","-","-"
"Jyväskylä lentoasema","2024","3","14","00:00","0.5","0.4","0.2","99","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","14","01:00","0.7","0.6","0.5","98","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","14","02:00","0.7","0.6","0.5","98","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","14","03:00","0.7","0.6","0.6","98","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","14","04:00","0.7","0.7","0.6","98","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","14","05:00","0.8","0.8","0.7","98","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","14","06:00","1","0.9","0.7","98","-","-","-","0.1","-","-"
"Jyväskylä lentoasema","2024","3","14","07:00","1.3","1.1","0.9","97","-","-","-","0.2","-","-"
"Jyväskylä lentoasema","2024","3","14","08:00","1.7","1.5","1.4","96","-","-","-","0.3","-","-"
"Jyväskylä lentoasema","2024","3","14","09:00","1.9","1.9","1.7","95","-","-","-","0.4","-","-"
"Jyväskylä lentoasema","2024","3","14","10:00","2.1","1.9","1.8","97","-","-","-","0.3","-","-"
"Jyväskylä lentoasema","2024","3","14","11:00","2.7","2.4","2","96","-","-","-","0.1","-","-"
"Jyväskylä lentoasema","2024","3","14","12:00","2.8","2.7","2.6","96","-","-","-","0.1","-","-"
"Jyväskylä lentoasema","2024","3","14","13:00","3.1","2.9","2.8","96","-","-","-","0.2","-","-"
"Jyväskylä lentoasema","2024","3","14","14:00","3.2","3.1","3","95","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","14","15:00","3.1","3","2.9","96","-","-","-","0.1","-","-"
"Jyväskylä lentoasema","2024","3","14","16:00","3","2.9","2.8","96","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","14","17:00","2.9","2.8","2.7","98","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","14","18:00","3.1","2.9","2.7","98","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","14","19:00","3.4","3.2","3","98","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","14","20:00","3.7","3.5","3.3","97","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","14","21:00","3.9","3.7","3.6","95","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","14","22:00","4.1","4","3.8","94","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","14","23:00","4.3","4.2","4","93","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","15","00:00","4.4","4.3","4.1","91","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","15","01:00","4.3","4.2","4.1","91","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","15","02:00","4.2","4.1","4","90","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","15","03:00","4.1","4","3.8","90","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","15","04:00","3.9","3.7","3.6","88","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","15","05:00","3.7","3.6","3.5","88","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","15","06:00","3.5","3.5","3.4","87","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","15","07:00","3.7","3.6","3.4","86","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","15","08:00","4.1","3.9","3.7","83","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","15","09:00","5.2","4.3","4","80","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","15","10:00","6","5.6","5.1","73","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","15","11:00","7.6","6.7","6","67","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","15","12:00","8.1","7.2","6.8","64","-","-","-","0","-","-"
"Jyväskylä lentoasema","2024","3","15","13:00","8.2","7.6","7.2","63","-","-","-","0","-","-"
