"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Ylin lämpötila [°C]","Lämpötilan keskiarvo [°C]","Alin lämpötila [°C]","Suhteellisen kosteuden keskiarvo [%]","Kovin keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Keskituulen nopeus [m/s]","Tunnin sademäärä [mm]","Ilmanpaineen keskiarvo [hPa]","Kovin puuska [m/s]"
"Jyväskylä lentoasema AWOS","2024","3","6","21:00","-3.5","-3.6","-3.7","94","4.7","338","4.1","-","1031.1","6.1"
"Jyväskylä lentoasema AWOS","2024","3","6","22:00","-3.7","-3.9","-4","96","4.4","341","3.4","-","1031","6.1"
"Jyväskylä lentoasema AWOS","2024","3","6","23:00","-3.9","-4","-4","97","4","339","3.1","-","1031","5.2"
"Jyväskylä lentoasema AWOS","2024","3","7","00:00","-3.9","-4","-4.1","97","3.9","330","3.2","-","1030.9","4.9"
"Jyväskylä lentoasema AWOS","2024","3","7","01:00","-3.9","-4","-4","97","3.6","339","2.8","-","1030.7","4.8"
"Jyväskylä lentoasema AWOS","2024","3","7","02:00","-4","-4","-4.1","97","3.4","323","2.9","-","1030.3","4.4"
"Jyväskylä lentoasema AWOS","2024","3","7","03:00","-4","-4.1","-4.3","97","3.4","335","2.4","-","1030","4.2"
"Jyväskylä lentoasema AWOS","2024","3","7","04:00","-4.1","-4.2","-4.3","96","3.4","344","2.8","-","1029.8","4.7"
"Jyväskylä lentoasema AWOS","2024","3","7","05:00","-4.2","-4.2","-4.3","96","3.1","346","2.4","-","1029.7","4.1"
"Jyväskylä lentoasema AWOS","2024","3","7","06:00","-4.2","-4.4","-4.5","95","2.6","2","1.8","-","1029.5","3.5"
"Jyväskylä lentoasema AWOS","2024","3","7","07:00","-4.3","-4.4","-4.5","96","2.1","343","1.5","-","1029.5","3.1"
"Jyväskylä lentoasema AWOS","2024","3","7","08:00","-4.3","-4.5","-4.6","95","2.5","315","1.8","-","1029.3","3.2"
"Jyväskylä lentoasema AWOS","2024","3","7","09:00","-3.8","-4.4","-4.6","95","1.6","347","1.4","-","1029","2.9"
"Jyväskylä lentoasema AWOS","2024","3","7","10:00","-4","-4.2","-4.3","93","1.7","294","1.1","-","1028.8","3"
"Jyväskylä lentoasema AWOS","2024","3","7","11:00","-3.6","-3.8","-4.1","93","1.6","329","1.1","-","1028.3","2.7"
"Jyväskylä lentoasema AWOS","2024","3","7","12:00","-3","-3.5","-3.8","90","2.6","306","2.1","-","1027.9","3.6"
"Jyväskylä lentoasema AWOS","2024","3","7","13:00","-2.8","-3.1","-3.3","87","2.7","310","2.1","-","1027.6","4.1"
"Jyväskylä lentoasema AWOS","2024","3","7","14:00","-2.8","-3.1","-3.2","90","3.2","308","2.7","-","1027.2","4.7"
"Jyväskylä lentoasema AWOS","2024","3","7","15:00","-3","-3.1","-3.3","90","3.2","317","2.7","-","1026.8","4.8"
"Jyväskylä lentoasema AWOS","2024","3","7","16:00","-3.2","-3.5","-3.8","92","3.5","323","2.9","-","1026.4","4.8"
"Jyväskylä lentoasema AWOS","2024","3","7","17:00","-3.7","-4","-4.3","94","3.8","324","3.2","-","1026.4","4.9"
"Jyväskylä lentoasema AWOS","2024","3","7","18:00","-4.1","-4.4","-4.6","95","3.9","325","3.4","-","1026.4","5.3"
"Jyväskylä lentoasema AWOS","2024","3","7","19:00","-4.3","-4.4","-4.6","96","3.9","334","3.3","-","1026.5","4.9"
"Jyväskylä lentoasema AWOS","2024","3","7","20:00","-4.3","-4.4","-4.5","96","4.6","332","3.8","-","1026.6","5.8"
"Jyväskylä lentoasema AWOS","2024","3","7","21:00","-4.4","-4.5","-4.6","96","4.1","339","3.6","-","1026.5","5.8"
"Jyväskylä lentoasema AWOS","2024","3","7","22:00","-4.5","-4.6","-4.7","96","3.7","342","2.9","-","1026.1","5.1"
"Jyväskylä lentoasema AWOS","2024","3","7","23:00","-4.7","-4.8","-4.9","96","4.5","341","3.8","-","1026.1","5.8"
"Jyväskylä lentoasema AWOS","2024","3","8","00:00","-4.8","-4.9","-4.9","96","4.1","346","3.4","-","1026.1","5.3"
"Jyväskylä lentoasema AWOS","2024","3","8","01:00","-4.8","-4.9","-5.1","96","3.8","357","3.2","-","1026.1","5.2"
"Jyväskylä lentoasema AWOS","2024","3","8","02:00","-5","-5.1","-5.2","95","3.9","351","2.9","-","1026.3","4.9"
"Jyväskylä lentoasema AWOS","2024","3","8","03:00","-5.1","-5.1","-5.2","95","3.1","357","2.7","-","1026.4","4.4"
"Jyväskylä lentoasema AWOS","2024","3","8","04:00","-5.2","-5.2","-5.3","95","2.9","353","2.5","-","1026.5","4.3"
"Jyväskylä lentoasema AWOS","2024","3","8","05:00","-5.2","-5.2","-5.3","95","2.7","343","2.4","-","1026.6","4.1"
"Jyväskylä lentoasema AWOS","2024","3","8","06:00","-5.1","-5.2","-5.3","94","2.4","354","2.1","-","1026.8","3.3"
"Jyväskylä lentoasema AWOS","2024","3","8","07:00","-4.7","-4.9","-5.1","94","2.5","359","2.2","-","1026.9","3.6"
"Jyväskylä lentoasema AWOS","2024","3","8","08:00","-4.1","-4.4","-4.7","94","2.6","3","2.3","-","1027","3.6"
"Jyväskylä lentoasema AWOS","2024","3","8","09:00","-3.4","-3.9","-4.2","93","2.7","360","2.3","-","1027.1","3.5"
"Jyväskylä lentoasema AWOS","2024","3","8","10:00","-2.4","-3","-3.5","91","2.9","360","2.4","-","1027.2","4.3"
"Jyväskylä lentoasema AWOS","2024","3","8","11:00","-1.6","-2.1","-2.5","85","3.1","7","2.9","-","1027.1","4.4"
"Jyväskylä lentoasema AWOS","2024","3","8","12:00","-1.6","-1.8","-1.9","77","4.1","11","3.3","-","1027","5.9"
"Jyväskylä lentoasema AWOS","2024","3","8","13:00","-1.6","-1.8","-1.9","75","3.7","23","2.6","-","1027","5.2"
"Jyväskylä lentoasema AWOS","2024","3","8","14:00","-1.2","-1.4","-1.7","73","2.4","50","1.9","-","1027","3.9"
"Jyväskylä lentoasema AWOS","2024","3","8","15:00","-1","-1.1","-1.2","71","3.5","25","2.5","-","1026.6","5.5"
"Jyväskylä lentoasema AWOS","2024","3","8","16:00","-1","-1.1","-1.2","71","3","8","2.1","-","1026.3","3.7"
"Jyväskylä lentoasema AWOS","2024","3","8","17:00","-1.1","-1.2","-1.2","71","2.8","7","2.2","-","1026.1","4"
"Jyväskylä lentoasema AWOS","2024","3","8","18:00","-1.1","-1.3","-1.4","71","2.6","5","2.1","-","1026.1","3.9"
"Jyväskylä lentoasema AWOS","2024","3","8","19:00","-1.3","-1.5","-1.8","74","2.1","339","1.5","-","1026.1","3.2"
"Jyväskylä lentoasema AWOS","2024","3","8","20:00","-1.8","-1.9","-2","78","2","334","1.5","-","1026.2","2.6"
"Jyväskylä lentoasema AWOS","2024","3","8","21:00","-1.9","-2","-2.1","78","2","337","1.5","-","1026.1","2.7"
"Jyväskylä lentoasema AWOS","2024","3","8","22:00","-2","-2.2","-2.3","79","1.9","340","1.6","-","1025.8","2.6"
"Jyväskylä lentoasema AWOS","2024","3","8","23:00","-2.2","-2.3","-2.5","79","2.1","345","1.9","-","1025.6","3"
"Jyväskylä lentoasema AWOS","2024","3","9","00:00","-2.4","-2.7","-3.1","82","2.2","329","2","-","1025.4","2.9"
"Jyväskylä lentoasema AWOS","2024","3","9","01:00","-3","-3.1","-3.2","84","1.9","310","1.6","-","1025.2","2.2"
"Jyväskylä lentoasema AWOS","2024","3","9","02:00","-3.1","-3.3","-3.4","85","1.9","312","1.7","-","1025","2.5"
"Jyväskylä lentoasema AWOS","2024","3","9","03:00","-3.1","-3.3","-3.5","84","2.3","326","1.8","-","1024.9","3.3"
"Jyväskylä lentoasema AWOS","2024","3","9","04:00","-3.1","-3.3","-3.5","82","2.9","332","2.5","-","1024.7","3.7"
"Jyväskylä lentoasema AWOS","2024","3","9","05:00","-3.3","-3.5","-3.6","83","3.1","327","2.6","-","1024.6","3.8"
"Jyväskylä lentoasema AWOS","2024","3","9","06:00","-3.3","-3.4","-3.5","80","3.1","338","2.6","-","1024.8","4.2"
"Jyväskylä lentoasema AWOS","2024","3","9","07:00","-3.2","-3.3","-3.4","76","3.8","349","2.8","-","1024.9","5.3"
"Jyväskylä lentoasema AWOS","2024","3","9","08:00","-3","-3.2","-3.3","78","4","354","3.4","-","1025","5.6"
"Jyväskylä lentoasema AWOS","2024","3","9","09:00","-2.5","-2.9","-3.1","75","4","2","3.4","-","1025","5.4"
"Jyväskylä lentoasema AWOS","2024","3","9","10:00","-2.2","-2.4","-2.6","68","3.7","5","3.4","-","1025","5.1"
"Jyväskylä lentoasema AWOS","2024","3","9","11:00","-2","-2.2","-2.3","62","4.2","358","3.8","-","1025.1","5.9"
"Jyväskylä lentoasema AWOS","2024","3","9","12:00","-1.8","-2.1","-2.3","60","4.2","12","3.4","-","1025.1","5.7"
"Jyväskylä lentoasema AWOS","2024","3","9","13:00","-1.2","-1.5","-1.9","57","4","7","3.6","-","1025","5.5"
"Jyväskylä lentoasema AWOS","2024","3","9","14:00","-1.1","-1.4","-1.5","57","4.3","13","3.9","-","1025.1","6.3"
"Jyväskylä lentoasema AWOS","2024","3","9","15:00","-0.9","-1.3","-1.4","58","3.7","1","2.5","-","1024.9","4.5"
"Jyväskylä lentoasema AWOS","2024","3","9","16:00","-1.1","-1.3","-1.7","61","1.8","325","1.3","-","1024.7","2.4"
"Jyväskylä lentoasema AWOS","2024","3","9","17:00","-1.6","-2","-2.6","66","1.8","292","1.4","-","1024.6","2.2"
"Jyväskylä lentoasema AWOS","2024","3","9","18:00","-2.5","-4.1","-5.3","73","1.9","290","1.7","-","1024.8","2.3"
"Jyväskylä lentoasema AWOS","2024","3","9","19:00","-3.3","-5.2","-6.8","76","2.3","320","2.1","-","1025","3"
"Jyväskylä lentoasema AWOS","2024","3","9","20:00","-5.7","-6.5","-7.2","79","2.3","309","1.7","-","1025.3","2.6"
"Jyväskylä lentoasema AWOS","2024","3","9","21:00","-5.5","-7","-8.1","82","1.4","336","1.1","-","1025.3","2.3"
"Jyväskylä lentoasema AWOS","2024","3","9","22:00","-5.7","-6.2","-7.8","80","2.5","303","2.1","-","1025.3","3.2"
"Jyväskylä lentoasema AWOS","2024","3","9","23:00","-5.1","-5.7","-6.2","81","2.8","319","2.4","-","1025.3","3.9"
"Jyväskylä lentoasema AWOS","2024","3","10","00:00","-6.2","-6.7","-7.1","84","2.7","309","2.4","-","1025.4","3.6"
"Jyväskylä lentoasema AWOS","2024","3","10","01:00","-5.7","-6.2","-6.6","86","3.3","303","2.7","-","1025.4","4"
"Jyväskylä lentoasema AWOS","2024","3","10","02:00","-5.9","-6.6","-7","86","3.3","303","3","-","1025.4","4.2"
"Jyväskylä lentoasema AWOS","2024","3","10","03:00","-4.8","-5.6","-6.4","86","3.1","307","2.9","-","1025.4","3.8"
"Jyväskylä lentoasema AWOS","2024","3","10","04:00","-4.7","-5","-5.2","86","2.8","300","2.2","-","1025.4","3.2"
"Jyväskylä lentoasema AWOS","2024","3","10","05:00","-4.6","-4.8","-5","86","2.5","305","1.9","-","1025.4","3.4"
"Jyväskylä lentoasema AWOS","2024","3","10","06:00","-4","-4.5","-4.8","86","2.4","301","2.1","-","1025.6","3.6"
"Jyväskylä lentoasema AWOS","2024","3","10","07:00","-3.3","-3.8","-4.1","84","2.4","302","2.1","-","1025.8","3.2"
"Jyväskylä lentoasema AWOS","2024","3","10","08:00","-2.2","-2.9","-3.5","82","2.6","306","2.3","-","1025.8","3.5"
"Jyväskylä lentoasema AWOS","2024","3","10","09:00","-1.3","-1.9","-2.3","79","3","311","2.6","-","1026","4"
"Jyväskylä lentoasema AWOS","2024","3","10","10:00","-0.1","-0.7","-1.4","75","2.8","310","2.5","-","1025.9","4.2"
"Jyväskylä lentoasema AWOS","2024","3","10","11:00","0.7","0.3","-0.1","72","2.9","310","2.5","-","1025.8","4.2"
"Jyväskylä lentoasema AWOS","2024","3","10","12:00","2.1","1.5","0.7","65","2.9","300","2.7","-","1025.5","4.1"
"Jyväskylä lentoasema AWOS","2024","3","10","13:00","2.6","2.3","1.9","61","3.5","300","3","-","1025.2","5.7"
"Jyväskylä lentoasema AWOS","2024","3","10","14:00","3.1","2.8","2.2","57","3.6","297","3.2","-","1025","5.1"
"Jyväskylä lentoasema AWOS","2024","3","10","15:00","3.1","2.7","2.3","57","4.1","293","3.6","-","1024.9","6"
"Jyväskylä lentoasema AWOS","2024","3","10","16:00","2.6","2.3","1.9","59","3.7","290","3.4","-","1024.8","5.4"
"Jyväskylä lentoasema AWOS","2024","3","10","17:00","2","1.5","1","65","3.8","284","3.5","-","1025","5.3"
"Jyväskylä lentoasema AWOS","2024","3","10","18:00","1.2","0.8","0.5","69","3.9","286","3.4","-","1025.3","5.8"
"Jyväskylä lentoasema AWOS","2024","3","10","19:00","0.6","0.4","0.1","73","3.8","283","3.3","-","1025.4","5.9"
"Jyväskylä lentoasema AWOS","2024","3","10","20:00","0.2","-0.2","-0.5","76","3.7","292","3","-","1025.4","5.7"
"Jyväskylä lentoasema AWOS","2024","3","10","21:00","-0.3","-0.5","-0.7","77","2.8","296","2.6","-","1025.4","4.2"
"Jyväskylä lentoasema AWOS","2024","3","10","22:00","-0.4","-0.7","-0.9","75","3.5","285","3.1","-","1025.4","5.2"
"Jyväskylä lentoasema AWOS","2024","3","10","23:00","-0.4","-0.6","-0.7","71","3.6","278","3.3","-","1025.4","4.9"
"Jyväskylä lentoasema AWOS","2024","3","11","00:00","-0.6","-0.7","-1.1","71","3","270","2.6","-","1025.4","4.1"
"Jyväskylä lentoasema AWOS","2024","3","11","01:00","-1","-1.8","-2.6","75","2.6","270","2.4","-","1025.6","3.5"
"Jyväskylä lentoasema AWOS","2024","3","11","02:00","-2","-2.8","-4.2","78","2.4","273","2.1","-","1025.7","3.5"
"Jyväskylä lentoasema AWOS","2024","3","11","03:00","-3.4","-4.9","-6","86","1.5","285","0.8","-","1025.9","2"
"Jyväskylä lentoasema AWOS","2024","3","11","04:00","-5.5","-6.1","-7.3","91","1.3","6","0.9","-","1025.9","1.6"
"Jyväskylä lentoasema AWOS","2024","3","11","05:00","-6.2","-7.1","-7.9","93","2.3","326","1.7","-","1026","2.6"
"Jyväskylä lentoasema AWOS","2024","3","11","06:00","-6.3","-7.1","-7.7","90","1.8","310","1.2","-","1025.9","2.3"
"Jyväskylä lentoasema AWOS","2024","3","11","07:00","-5.1","-6","-6.7","88","2.8","323","2","-","1026.1","3.7"
"Jyväskylä lentoasema AWOS","2024","3","11","08:00","-3.2","-4.5","-5.8","83","2.8","302","2","-","1026.2","3.3"
"Jyväskylä lentoasema AWOS","2024","3","11","09:00","-1.7","-2.6","-3.3","77","3.6","303","2.7","-","1026.2","4.7"
"Jyväskylä lentoasema AWOS","2024","3","11","10:00","-0.6","-1.2","-1.7","71","3.5","297","3","-","1026.1","4.8"
"Jyväskylä lentoasema AWOS","2024","3","11","11:00","0.7","0","-0.6","66","4.1","298","3.3","-","1026","5.4"
"Jyväskylä lentoasema AWOS","2024","3","11","12:00","1.9","1.2","0.6","59","3.7","303","3.1","-","1025.8","5.7"
"Jyväskylä lentoasema AWOS","2024","3","11","13:00","2.5","1.9","1.2","55","4.5","287","3.3","-","1025.5","6.3"
"Jyväskylä lentoasema AWOS","2024","3","11","14:00","2.5","2.1","1.3","53","3.8","300","3","-","1025.3","5.5"
"Jyväskylä lentoasema AWOS","2024","3","11","15:00","2.4","1.9","1","53","3","266","2.6","-","1025.1","4.3"
"Jyväskylä lentoasema AWOS","2024","3","11","16:00","1.9","0.1","-1.8","60","2.4","268","1.6","-","1025.1","3.3"
"Jyväskylä lentoasema AWOS","2024","3","11","17:00","-1.9","-2.7","-3.2","74","1.1","243","0.7","-","1025.3","1.5"
"Jyväskylä lentoasema AWOS","2024","3","11","18:00","-3.2","-4.2","-5.1","81","0.6","236","0.3","-","1025.4","0.8"
"Jyväskylä lentoasema AWOS","2024","3","11","19:00","-4.8","-5.4","-6.3","86","0.3","172","0.2","-","1025.4","0.5"
"Jyväskylä lentoasema AWOS","2024","3","11","20:00","-6.1","-6.7","-7.8","89","0.8","301","0.5","-","1025.6","1.1"
"Jyväskylä lentoasema AWOS","2024","3","11","21:00","-6.7","-7.5","-8.5","90","0.4","259","0.3","-","1025.7","0.7"
"Jyväskylä lentoasema AWOS","2024","3","11","22:00","-7.8","-8.4","-8.8","92","0.3","231","0.2","-","1025.8","0.4"
"Jyväskylä lentoasema AWOS","2024","3","11","23:00","-8.6","-9.1","-9.5","93","0.3","248","0.2","-","1025.9","0.5"
"Jyväskylä lentoasema AWOS","2024","3","12","00:00","-9.3","-9.6","-10.5","91","0.7","251","0.4","-","1025.8","0.8"
"Jyväskylä lentoasema AWOS","2024","3","12","01:00","-10.1","-10.6","-11","91","0.7","205","0.5","-","1025.7","0.9"
"Jyväskylä lentoasema AWOS","2024","3","12","02:00","-11","-11.4","-11.8","91","0.4","215","0.3","-","1025.5","0.5"
"Jyväskylä lentoasema AWOS","2024","3","12","03:00","-11.8","-12.1","-12.5","90","0.5","230","0.4","-","1025.1","0.6"
"Jyväskylä lentoasema AWOS","2024","3","12","04:00","-11.9","-12.7","-13.3","89","0.5","244","0.3","-","1025","0.7"
"Jyväskylä lentoasema AWOS","2024","3","12","05:00","-13.3","-13.6","-14.1","88","0.7","189","0.5","-","1024.7","0.9"
"Jyväskylä lentoasema AWOS","2024","3","12","06:00","-10.8","-12.9","-14","87","0.4","252","0.2","-","1024.4","0.8"
"Jyväskylä lentoasema AWOS","2024","3","12","07:00","-8.7","-10.6","-12.1","84","1.3","118","0.8","-","1024.4","1.4"
"Jyväskylä lentoasema AWOS","2024","3","12","08:00","-6.5","-7.9","-8.7","83","1.9","130","1.6","-","1023.9","2.1"
"Jyväskylä lentoasema AWOS","2024","3","12","09:00","-3.2","-4.6","-6.5","76","2.6","127","2.4","-","1023.4","2.9"
"Jyväskylä lentoasema AWOS","2024","3","12","10:00","0.3","-1.1","-3.1","65","3.4","147","3","-","1022.7","5.5"
"Jyväskylä lentoasema AWOS","2024","3","12","11:00","2.4","1.2","0.1","58","4.1","189","3.2","-","1022.2","5.6"
"Jyväskylä lentoasema AWOS","2024","3","12","12:00","3.1","2","1.6","52","3.7","181","3","-","1021.6","5.1"
"Jyväskylä lentoasema AWOS","2024","3","12","13:00","2.7","2.4","1.9","52","4.9","147","4.1","-","1020.9","6.4"
"Jyväskylä lentoasema AWOS","2024","3","12","14:00","2.4","2.2","2","53","5.2","155","4.1","-","1020.4","6.5"
"Jyväskylä lentoasema AWOS","2024","3","12","15:00","2.3","2","1.7","50","5","180","3.7","-","1019.9","6.5"
"Jyväskylä lentoasema AWOS","2024","3","12","16:00","2","1.3","0.5","54","3.4","171","2.5","-","1019.5","4.5"
"Jyväskylä lentoasema AWOS","2024","3","12","17:00","0.5","-1.6","-3","69","2.5","165","1.6","-","1019.6","2.3"
"Jyväskylä lentoasema AWOS","2024","3","12","18:00","-3","-3.7","-4.2","82","1.9","157","1.1","-","1019.4","2.2"
"Jyväskylä lentoasema AWOS","2024","3","12","19:00","-4.1","-4.9","-5.6","86","0.9","137","0.6","-","1019.1","1.5"
"Jyväskylä lentoasema AWOS","2024","3","12","20:00","-5.4","-6","-6.6","90","1","146","0.4","-","1019","1.2"
"Jyväskylä lentoasema AWOS","2024","3","12","21:00","-6.2","-6.7","-7.5","89","0.8","124","0.5","-","1018.9","1.3"
"Jyväskylä lentoasema AWOS","2024","3","12","22:00","-7.3","-7.7","-8.3","94","2.3","145","1.5","-","1018.7","2.5"
"Jyväskylä lentoasema AWOS","2024","3","12","23:00","-7.6","-8.1","-8.7","95","1.9","135","0.6","-","1018.4","1.9"
"Jyväskylä lentoasema AWOS","2024","3","13","00:00","-8.5","-8.9","-9.6","91","0.5","329","0.3","-","1018.1","0.8"
"Jyväskylä lentoasema AWOS","2024","3","13","01:00","-9.4","-9.9","-10.3","90","0.6","312","0.4","-","1017.9","0.8"
"Jyväskylä lentoasema AWOS","2024","3","13","02:00","-9.5","-10.6","-11.3","91","0.7","147","0.4","-","1017.7","1.1"
"Jyväskylä lentoasema AWOS","2024","3","13","03:00","-10.7","-11.2","-11.5","90","0.7","149","0.3","-","1017.4","0.8"
"Jyväskylä lentoasema AWOS","2024","3","13","04:00","-11.1","-11.6","-12","90","0.7","189","0.4","-","1017.1","1"
"Jyväskylä lentoasema AWOS","2024","3","13","05:00","-10.2","-11.3","-11.9","88","0.9","120","0.6","-","1016.9","1.2"
"Jyväskylä lentoasema AWOS","2024","3","13","06:00","-8.5","-9.6","-10.1","88","1.9","123","1.6","-","1016.6","2.2"
"Jyväskylä lentoasema AWOS","2024","3","13","07:00","-6.4","-7.9","-8.5","88","3.3","142","1.9","-","1016.1","3.9"
"Jyväskylä lentoasema AWOS","2024","3","13","08:00","-3.9","-4.7","-6.2","81","2.3","161","1.4","-","1015.9","3.2"
"Jyväskylä lentoasema AWOS","2024","3","13","09:00","-1","-2.4","-3.7","73","3.5","181","3","-","1015.4","5"
"Jyväskylä lentoasema AWOS","2024","3","13","10:00","2.1","0.4","-1","66","3.5","187","2.8","-","1014.9","5.1"
"Jyväskylä lentoasema AWOS","2024","3","13","11:00","3.2","2.7","2.1","63","4","187","3","-","1014.6","5.3"
"Jyväskylä lentoasema AWOS","2024","3","13","12:00","3.3","2.8","2.3","67","4.8","197","3.9","-","1014.4","6.9"
