"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Lämpötilan keskiarvo [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]","Suhteellisen kosteuden keskiarvo [%]","Keskituulen nopeus [m/s]","Kovin keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Kovin puuska [m/s]","Tunnin sademäärä [mm]","Ilmanpaineen keskiarvo [hPa]"
"Lappeenranta Lepola","2024","3","8","09:00","-1.8","-1.3","-2.3","85","-","-","-","-","0","1024.6"
"Lappeenranta Lepola","2024","3","8","10:00","-1.2","-0.8","-1.6","81","-","-","-","-","0","1024.6"
"Lappeenranta Lepola","2024","3","8","11:00","-0.8","-0.6","-1","80","-","-","-","-","0","1024.6"
"Lappeenranta Lepola","2024","3","8","12:00","-0.6","-0.4","-0.8","78","-","-","-","-","0","1024.5"
"Lappeenranta Lepola","2024","3","8","13:00","-0.2","-0.1","-0.5","76","-","-","-","-","0","1024.4"
"Lappeenranta Lepola","2024","3","8","14:00","0.1","0.2","-0.1","73","-","-","-","-","0","1024.3"
"Lappeenranta Lepola","2024","3","8","15:00","0.2","0.4","0","66","-","-","-","-","0","1024.2"
"Lappeenranta Lepola","2024","3","8","16:00","-0.1","0.2","-0.4","66","-","-","-","-","0","1024.2"
"Lappeenranta Lepola","2024","3","8","17:00","-0.3","-0.1","-0.4","67","-","-","-","-","0","1024.1"
"Lappeenranta Lepola","2024","3","8","18:00","-0.3","-0.2","-0.3","66","-","-","-","-","0","1024.3"
"Lappeenranta Lepola","2024","3","8","19:00","-0.4","-0.3","-0.5","66","-","-","-","-","0","1024.5"
"Lappeenranta Lepola","2024","3","8","20:00","-0.6","-0.4","-0.8","62","-","-","-","-","0","1024.6"
"Lappeenranta Lepola","2024","3","8","21:00","-1","-0.8","-1.2","63","-","-","-","-","0","1024.5"
"Lappeenranta Lepola","2024","3","8","22:00","-1.3","-1.2","-1.4","63","-","-","-","-","0","1024.3"
"Lappeenranta Lepola","2024","3","8","23:00","-1.5","-1.4","-1.7","64","-","-","-","-","0","1024.2"
"Lappeenranta Lepola","2024","3","9","00:00","-1.8","-1.7","-1.9","65","-","-","-","-","0","1024.1"
"Lappeenranta Lepola","2024","3","9","01:00","-2","-1.9","-2.1","66","-","-","-","-","0","1023.9"
"Lappeenranta Lepola","2024","3","9","02:00","-2.1","-2","-2.2","67","-","-","-","-","0","1023.7"
"Lappeenranta Lepola","2024","3","9","03:00","-2.3","-2.2","-2.4","68","-","-","-","-","0","1023.5"
"Lappeenranta Lepola","2024","3","9","04:00","-2.4","-2.4","-2.5","69","-","-","-","-","0","1023.4"
"Lappeenranta Lepola","2024","3","9","05:00","-2.6","-2.5","-2.6","70","-","-","-","-","0","1023.3"
"Lappeenranta Lepola","2024","3","9","06:00","-2.6","-2.6","-2.7","70","-","-","-","-","0","1023.5"
"Lappeenranta Lepola","2024","3","9","07:00","-2.6","-2.5","-2.7","70","-","-","-","-","0","1023.6"
"Lappeenranta Lepola","2024","3","9","08:00","-2.3","-1.9","-2.5","68","-","-","-","-","0","1023.5"
"Lappeenranta Lepola","2024","3","9","09:00","-1.7","-1.4","-1.9","63","-","-","-","-","0","1023.4"
"Lappeenranta Lepola","2024","3","9","10:00","-1.8","-1.4","-2.1","69","-","-","-","-","0","1023.2"
"Lappeenranta Lepola","2024","3","9","11:00","-1.3","-1","-1.9","61","-","-","-","-","0","1023.2"
"Lappeenranta Lepola","2024","3","9","12:00","-1.7","-1.2","-2","68","-","-","-","-","0","1023.1"
"Lappeenranta Lepola","2024","3","9","13:00","-1.3","-1","-1.6","66","-","-","-","-","0","1023"
"Lappeenranta Lepola","2024","3","9","14:00","-1.6","-1.2","-1.9","62","-","-","-","-","0","1023.1"
"Lappeenranta Lepola","2024","3","9","15:00","-1.5","-1.3","-1.7","68","-","-","-","-","0","1023"
"Lappeenranta Lepola","2024","3","9","16:00","-1.7","-1.5","-1.9","67","-","-","-","-","0","1023"
"Lappeenranta Lepola","2024","3","9","17:00","-2.2","-1.8","-2.4","68","-","-","-","-","0","1023.1"
"Lappeenranta Lepola","2024","3","9","18:00","-2.8","-2.4","-3.2","72","-","-","-","-","0","1023.4"
"Lappeenranta Lepola","2024","3","9","19:00","-3.5","-3.1","-3.9","74","-","-","-","-","0","1023.6"
"Lappeenranta Lepola","2024","3","9","20:00","-4.2","-3.9","-4.3","75","-","-","-","-","0","1023.8"
"Lappeenranta Lepola","2024","3","9","21:00","-4","-3.8","-4.2","72","-","-","-","-","0","1023.7"
"Lappeenranta Lepola","2024","3","9","22:00","-3.9","-3.7","-4","71","-","-","-","-","0","1023.6"
"Lappeenranta Lepola","2024","3","9","23:00","-3.7","-3.6","-3.9","72","-","-","-","-","0","1023.5"
"Lappeenranta Lepola","2024","3","10","00:00","-3.7","-3.6","-3.7","73","-","-","-","-","0","1023.3"
"Lappeenranta Lepola","2024","3","10","01:00","-3.6","-3.5","-3.7","74","-","-","-","-","0","1023.3"
"Lappeenranta Lepola","2024","3","10","02:00","-3.6","-3.5","-3.6","76","-","-","-","-","0","1023.2"
"Lappeenranta Lepola","2024","3","10","03:00","-3.6","-3.4","-3.6","77","-","-","-","-","0","1023.3"
"Lappeenranta Lepola","2024","3","10","04:00","-3.3","-3.3","-3.4","79","-","-","-","-","0","1023.4"
"Lappeenranta Lepola","2024","3","10","05:00","-3.3","-3.2","-3.4","80","-","-","-","-","0","1023.4"
"Lappeenranta Lepola","2024","3","10","06:00","-3.1","-3","-3.2","80","-","-","-","-","0","1023.7"
"Lappeenranta Lepola","2024","3","10","07:00","-2.8","-2.6","-2.9","80","-","-","-","-","0","1024.1"
"Lappeenranta Lepola","2024","3","10","08:00","-2.4","-2.2","-2.6","80","-","-","-","-","0","1024.2"
"Lappeenranta Lepola","2024","3","10","09:00","-1.8","-1.5","-2.1","78","-","-","-","-","0","1024.5"
"Lappeenranta Lepola","2024","3","10","10:00","-1","-0.6","-1.4","75","-","-","-","-","0","1024.6"
"Lappeenranta Lepola","2024","3","10","11:00","0","0.6","-0.6","71","-","-","-","-","0","1024.4"
"Lappeenranta Lepola","2024","3","10","12:00","0.9","1.4","0.6","68","-","-","-","-","0","1024.4"
"Lappeenranta Lepola","2024","3","10","13:00","1.8","2.2","1.4","63","-","-","-","-","0","1024.2"
"Lappeenranta Lepola","2024","3","10","14:00","2.1","2.1","2","63","-","-","-","-","0","1024"
"Lappeenranta Lepola","2024","3","10","15:00","2","2.2","1.9","63","-","-","-","-","0","1024.1"
"Lappeenranta Lepola","2024","3","10","16:00","1.8","2","1.7","65","-","-","-","-","0","1024.1"
"Lappeenranta Lepola","2024","3","10","17:00","1.6","1.7","1.3","65","-","-","-","-","0","1024.3"
"Lappeenranta Lepola","2024","3","10","18:00","1.2","1.4","1","67","-","-","-","-","0","1024.4"
"Lappeenranta Lepola","2024","3","10","19:00","0.9","1.1","0.8","69","-","-","-","-","0","1024.5"
"Lappeenranta Lepola","2024","3","10","20:00","0.7","0.9","0.5","70","-","-","-","-","0","1024.4"
"Lappeenranta Lepola","2024","3","10","21:00","0.4","0.5","0.2","71","-","-","-","-","0","1024.4"
"Lappeenranta Lepola","2024","3","10","22:00","0.3","0.4","0.3","70","-","-","-","-","0","1024.3"
"Lappeenranta Lepola","2024","3","10","23:00","0.3","0.3","0.2","71","-","-","-","-","0","1024.6"
"Lappeenranta Lepola","2024","3","11","00:00","0.2","0.3","0.2","71","-","-","-","-","0","1024.8"
"Lappeenranta Lepola","2024","3","11","01:00","0.1","0.2","0","71","-","-","-","-","0","1025"
"Lappeenranta Lepola","2024","3","11","02:00","0","0.2","-0.2","71","-","-","-","-","0","1025"
"Lappeenranta Lepola","2024","3","11","03:00","0.1","0.4","-0.1","68","-","-","-","-","0","1025.1"
"Lappeenranta Lepola","2024","3","11","04:00","-0.1","0","-0.2","70","-","-","-","-","0","1025.2"
"Lappeenranta Lepola","2024","3","11","05:00","-0.1","-0.1","-0.2","69","-","-","-","-","0","1025.1"
"Lappeenranta Lepola","2024","3","11","06:00","0","0.1","-0.1","67","-","-","-","-","0","1025.4"
"Lappeenranta Lepola","2024","3","11","07:00","0.4","0.9","0.1","64","-","-","-","-","0","1025.5"
"Lappeenranta Lepola","2024","3","11","08:00","1.2","1.6","0.9","58","-","-","-","-","0","1025.5"
"Lappeenranta Lepola","2024","3","11","09:00","2","2.3","1.7","53","-","-","-","-","0","1025.4"
"Lappeenranta Lepola","2024","3","11","10:00","2.3","2.6","2.1","53","-","-","-","-","0","1025.5"
"Lappeenranta Lepola","2024","3","11","11:00","2.8","3","2.5","52","-","-","-","-","0","1025.4"
"Lappeenranta Lepola","2024","3","11","12:00","3.2","3.4","2.9","51","-","-","-","-","0","1025.3"
"Lappeenranta Lepola","2024","3","11","13:00","3.4","3.6","3.2","50","-","-","-","-","0","1025"
"Lappeenranta Lepola","2024","3","11","14:00","3.5","3.6","3.3","50","-","-","-","-","0","1024.8"
"Lappeenranta Lepola","2024","3","11","15:00","3.1","3.3","2.9","51","-","-","-","-","0","1024.8"
"Lappeenranta Lepola","2024","3","11","16:00","2.5","2.9","2.1","53","-","-","-","-","0","1024.8"
"Lappeenranta Lepola","2024","3","11","17:00","0.8","2.1","0.1","61","-","-","-","-","0","1024.9"
"Lappeenranta Lepola","2024","3","11","18:00","-0.3","0.2","-0.6","65","-","-","-","-","0","1025"
"Lappeenranta Lepola","2024","3","11","19:00","-0.3","0.6","-1.2","64","-","-","-","-","0","1025.1"
"Lappeenranta Lepola","2024","3","11","20:00","-1.1","-0.9","-1.2","67","-","-","-","-","0","1025.2"
"Lappeenranta Lepola","2024","3","11","21:00","-1.4","-1","-1.9","69","-","-","-","-","0","1025.4"
"Lappeenranta Lepola","2024","3","11","22:00","-2.2","-1.6","-2.8","72","-","-","-","-","0","1025.5"
"Lappeenranta Lepola","2024","3","11","23:00","-3.1","-2","-4.2","77","-","-","-","-","0","1025.5"
"Lappeenranta Lepola","2024","3","12","00:00","-3.9","-3.3","-4.5","82","-","-","-","-","0","1025.7"
"Lappeenranta Lepola","2024","3","12","01:00","-3.3","-3.3","-3.4","76","-","-","-","-","0","1025.6"
"Lappeenranta Lepola","2024","3","12","02:00","-3.4","-3.2","-3.7","77","-","-","-","-","0","1025.4"
"Lappeenranta Lepola","2024","3","12","03:00","-4.2","-3.6","-5.2","81","-","-","-","-","0","1025.2"
"Lappeenranta Lepola","2024","3","12","04:00","-5.5","-5.2","-5.9","90","-","-","-","-","0","1025.1"
"Lappeenranta Lepola","2024","3","12","05:00","-6.3","-6","-6.6","91","-","-","-","-","0","1024.9"
"Lappeenranta Lepola","2024","3","12","06:00","-6.1","-5.3","-6.6","91","-","-","-","-","0","1024.8"
"Lappeenranta Lepola","2024","3","12","07:00","-4.4","-3.6","-5.3","84","-","-","-","-","0","1024.8"
"Lappeenranta Lepola","2024","3","12","08:00","-2.8","-1.9","-3.7","77","-","-","-","-","0","1024.7"
"Lappeenranta Lepola","2024","3","12","09:00","-1","0.2","-1.9","70","-","-","-","-","0","1024.5"
"Lappeenranta Lepola","2024","3","12","10:00","1","1.6","0.2","61","-","-","-","-","0","1024.1"
"Lappeenranta Lepola","2024","3","12","11:00","2.2","2.4","1.7","56","-","-","-","-","0","1023.6"
"Lappeenranta Lepola","2024","3","12","12:00","2.6","2.9","2.3","54","-","-","-","-","0","1023.1"
"Lappeenranta Lepola","2024","3","12","13:00","2.9","3.2","2.6","54","-","-","-","-","0","1022.5"
"Lappeenranta Lepola","2024","3","12","14:00","2.9","3.1","2.6","53","-","-","-","-","0","1022"
"Lappeenranta Lepola","2024","3","12","15:00","2.6","2.8","2.2","54","-","-","-","-","0","1021.6"
"Lappeenranta Lepola","2024","3","12","16:00","1.8","2.2","0.8","56","-","-","-","-","0","1021.3"
"Lappeenranta Lepola","2024","3","12","17:00","0.1","0.7","-0.4","65","-","-","-","-","0","1021"
"Lappeenranta Lepola","2024","3","12","18:00","-1.3","-0.4","-1.9","71","-","-","-","-","0","1020.7"
"Lappeenranta Lepola","2024","3","12","19:00","-2","-1.8","-2.3","72","-","-","-","-","0","1020.5"
"Lappeenranta Lepola","2024","3","12","20:00","-2.2","-1.8","-2.5","72","-","-","-","-","0","1020.2"
"Lappeenranta Lepola","2024","3","12","21:00","-2.5","-2.2","-2.9","73","-","-","-","-","0","1019.8"
"Lappeenranta Lepola","2024","3","12","22:00","-3.1","-2.8","-3.4","75","-","-","-","-","0","1019.5"
"Lappeenranta Lepola","2024","3","12","23:00","-3.4","-3.3","-3.5","75","-","-","-","-","0","1019.3"
"Lappeenranta Lepola","2024","3","13","00:00","-3.7","-3.5","-3.9","78","-","-","-","-","0","1019.2"
"Lappeenranta Lepola","2024","3","13","01:00","-3.8","-3.6","-4.1","80","-","-","-","-","0","1018.9"
"Lappeenranta Lepola","2024","3","13","02:00","-4.1","-4","-4.2","82","-","-","-","-","0","1018.4"
"Lappeenranta Lepola","2024","3","13","03:00","-4.3","-4.2","-4.8","85","-","-","-","-","0","1018.2"
"Lappeenranta Lepola","2024","3","13","04:00","-5","-4.7","-5.1","87","-","-","-","-","0","1018.2"
"Lappeenranta Lepola","2024","3","13","05:00","-5.2","-5.1","-5.3","90","-","-","-","-","0","1018.1"
"Lappeenranta Lepola","2024","3","13","06:00","-4.8","-4.2","-5.3","90","-","-","-","-","0","1017.9"
"Lappeenranta Lepola","2024","3","13","07:00","-3.4","-2.9","-4.1","85","-","-","-","-","0","1017.8"
"Lappeenranta Lepola","2024","3","13","08:00","-1.9","-0.7","-2.8","78","-","-","-","-","0","1017.7"
"Lappeenranta Lepola","2024","3","13","09:00","0","0.9","-0.8","70","-","-","-","-","0","1017.7"
"Lappeenranta Lepola","2024","3","13","10:00","1.7","2.6","0.9","63","-","-","-","-","0","1017.3"
"Lappeenranta Lepola","2024","3","13","11:00","3.3","3.8","2.6","55","-","-","-","-","0","1017.1"
"Lappeenranta Lepola","2024","3","13","12:00","3.1","3.1","3","57","-","-","-","-","0","1016.9"
"Lappeenranta Lepola","2024","3","13","13:00","2.8","3.2","2.4","58","-","-","-","-","0","1016.4"
"Lappeenranta Lepola","2024","3","13","14:00","2.1","2.4","1.8","62","-","-","-","-","0","1016.2"
"Lappeenranta Lepola","2024","3","13","15:00","1.5","1.8","1.1","67","-","-","-","-","0","1016"
"Lappeenranta Lepola","2024","3","13","16:00","0.8","1.1","0.5","74","-","-","-","-","0","1015.6"
"Lappeenranta Lepola","2024","3","13","17:00","0.3","0.5","0.1","80","-","-","-","-","0","1015.3"
"Lappeenranta Lepola","2024","3","13","18:00","0","0.1","-0.1","83","-","-","-","-","0","1015"
"Lappeenranta Lepola","2024","3","13","19:00","0","0","-0.1","85","-","-","-","-","0","1014.8"
"Lappeenranta Lepola","2024","3","13","20:00","-0.1","0","-0.2","89","-","-","-","-","0","1014.4"
"Lappeenranta Lepola","2024","3","13","21:00","0","0.2","-0.2","96","-","-","-","-","0","1013.8"
"Lappeenranta Lepola","2024","3","13","22:00","0.3","0.4","0.2","97","-","-","-","-","0","1013.3"
"Lappeenranta Lepola","2024","3","13","23:00","0.4","0.4","0.3","98","-","-","-","-","0","1012.9"
"Lappeenranta Lepola","2024","3","14","00:00","0.5","0.5","0.4","98","-","-","-","-","0","1012.5"
"Lappeenranta Lepola","2024","3","14","01:00","0.5","0.6","0.5","98","-","-","-","-","0","1012"
"Lappeenranta Lepola","2024","3","14","02:00","0.6","0.7","0.5","98","-","-","-","-","0","1011.4"
"Lappeenranta Lepola","2024","3","14","03:00","0.6","0.7","0.6","98","-","-","-","-","0","1010.9"
"Lappeenranta Lepola","2024","3","14","04:00","0.7","0.8","0.6","99","-","-","-","-","0","1010.3"
"Lappeenranta Lepola","2024","3","14","05:00","0.8","0.9","0.8","99","-","-","-","-","0","1010"
"Lappeenranta Lepola","2024","3","14","06:00","1","1.1","0.9","99","-","-","-","-","0","1009.5"
"Lappeenranta Lepola","2024","3","14","07:00","1.2","1.3","1.1","99","-","-","-","-","0","1009.2"
"Lappeenranta Lepola","2024","3","14","08:00","1.5","1.7","1.3","99","-","-","-","-","0","1008.8"
"Lappeenranta Lepola","2024","3","14","09:00","1.8","1.9","1.7","99","-","-","-","-","0","1008.4"
"Lappeenranta Lepola","2024","3","14","10:00","1.9","1.9","1.8","99","-","-","-","-","0","1007.9"
"Lappeenranta Lepola","2024","3","14","11:00","2.2","2.6","1.9","98","-","-","-","-","0","1007.2"
"Lappeenranta Lepola","2024","3","14","12:00","2.5","2.6","2.5","93","-","-","-","-","0","1006.2"
"Lappeenranta Lepola","2024","3","14","13:00","2.6","2.8","2.5","91","-","-","-","-","0","1005.4"
"Lappeenranta Lepola","2024","3","14","14:00","2.9","3.1","2.8","88","-","-","-","-","0","1005"
"Lappeenranta Lepola","2024","3","14","15:00","2.8","3.1","2.4","89","-","-","-","-","0","1004.2"
"Lappeenranta Lepola","2024","3","14","16:00","2.5","2.6","2.4","95","-","-","-","-","0","1003.5"
"Lappeenranta Lepola","2024","3","14","17:00","2.8","3","2.6","96","-","-","-","-","0","1003.1"
"Lappeenranta Lepola","2024","3","14","18:00","3.1","3.2","2.9","96","-","-","-","-","0","1002.9"
"Lappeenranta Lepola","2024","3","14","19:00","3.1","3.2","3","97","-","-","-","-","0.1","1002.5"
"Lappeenranta Lepola","2024","3","14","20:00","3.2","3.3","3.1","97","-","-","-","-","0","1002.3"
"Lappeenranta Lepola","2024","3","14","21:00","3.3","3.4","3.1","97","-","-","-","-","0","1002"
"Lappeenranta Lepola","2024","3","14","22:00","3.4","3.5","3.3","97","-","-","-","-","0","1001.7"
"Lappeenranta Lepola","2024","3","14","23:00","3.4","3.5","3.3","97","-","-","-","-","0","1001.6"
"Lappeenranta Lepola","2024","3","15","00:00","3.4","3.5","3.3","98","-","-","-","-","0","1001.6"
"Lappeenranta Lepola","2024","3","15","01:00","3.3","3.4","3.2","99","-","-","-","-","0","1001.4"
"Lappeenranta Lepola","2024","3","15","02:00","3.2","3.3","3.1","99","-","-","-","-","0","1001.4"
"Lappeenranta Lepola","2024","3","15","03:00","3.1","3.2","3","99","-","-","-","-","0","1001.3"
"Lappeenranta Lepola","2024","3","15","04:00","3.1","3.2","3","99","-","-","-","-","0","1001.4"
"Lappeenranta Lepola","2024","3","15","05:00","3.1","3.3","3","99","-","-","-","-","0","1001.2"
