"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Lämpötilan keskiarvo [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]","Keskituulen nopeus [m/s]","Suhteellisen kosteuden keskiarvo [%]","Kovin keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Kovin puuska [m/s]","Tunnin sademäärä [mm]","Ilmanpaineen keskiarvo [hPa]"
"Jyväskylä lentoasema AWOS","2024","3","8","06:00","-5.2","-5.1","-5.3","2.1","94","2.4","354","3.3","-","1026.8"
"Jyväskylä lentoasema AWOS","2024","3","8","07:00","-4.9","-4.7","-5.1","2.2","94","2.5","359","3.6","-","1026.9"
"Jyväskylä lentoasema AWOS","2024","3","8","08:00","-4.4","-4.1","-4.7","2.3","94","2.6","3","3.6","-","1027"
"Jyväskylä lentoasema AWOS","2024","3","8","09:00","-3.9","-3.4","-4.2","2.3","93","2.7","360","3.5","-","1027.1"
"Jyväskylä lentoasema AWOS","2024","3","8","10:00","-3","-2.4","-3.5","2.4","91","2.9","360","4.3","-","1027.2"
"Jyväskylä lentoasema AWOS","2024","3","8","11:00","-2.1","-1.6","-2.5","2.9","85","3.1","7","4.4","-","1027.1"
"Jyväskylä lentoasema AWOS","2024","3","8","12:00","-1.8","-1.6","-1.9","3.3","77","4.1","11","5.9","-","1027"
"Jyväskylä lentoasema AWOS","2024","3","8","13:00","-1.8","-1.6","-1.9","2.6","75","3.7","23","5.2","-","1027"
"Jyväskylä lentoasema AWOS","2024","3","8","14:00","-1.4","-1.2","-1.7","1.9","73","2.4","50","3.9","-","1027"
"Jyväskylä lentoasema AWOS","2024","3","8","15:00","-1.1","-1","-1.2","2.5","71","3.5","25","5.5","-","1026.6"
"Jyväskylä lentoasema AWOS","2024","3","8","16:00","-1.1","-1","-1.2","2.1","71","3","8","3.7","-","1026.3"
"Jyväskylä lentoasema AWOS","2024","3","8","17:00","-1.2","-1.1","-1.2","2.2","71","2.8","7","4","-","1026.1"
"Jyväskylä lentoasema AWOS","2024","3","8","18:00","-1.3","-1.1","-1.4","2.1","71","2.6","5","3.9","-","1026.1"
"Jyväskylä lentoasema AWOS","2024","3","8","19:00","-1.5","-1.3","-1.8","1.5","74","2.1","339","3.2","-","1026.1"
"Jyväskylä lentoasema AWOS","2024","3","8","20:00","-1.9","-1.8","-2","1.5","78","2","334","2.6","-","1026.2"
"Jyväskylä lentoasema AWOS","2024","3","8","21:00","-2","-1.9","-2.1","1.5","78","2","337","2.7","-","1026.1"
"Jyväskylä lentoasema AWOS","2024","3","8","22:00","-2.2","-2","-2.3","1.6","79","1.9","340","2.6","-","1025.8"
"Jyväskylä lentoasema AWOS","2024","3","8","23:00","-2.3","-2.2","-2.5","1.9","79","2.1","345","3","-","1025.6"
"Jyväskylä lentoasema AWOS","2024","3","9","00:00","-2.7","-2.4","-3.1","2","82","2.2","329","2.9","-","1025.4"
"Jyväskylä lentoasema AWOS","2024","3","9","01:00","-3.1","-3","-3.2","1.6","84","1.9","310","2.2","-","1025.2"
"Jyväskylä lentoasema AWOS","2024","3","9","02:00","-3.3","-3.1","-3.4","1.7","85","1.9","312","2.5","-","1025"
"Jyväskylä lentoasema AWOS","2024","3","9","03:00","-3.3","-3.1","-3.5","1.8","84","2.3","326","3.3","-","1024.9"
"Jyväskylä lentoasema AWOS","2024","3","9","04:00","-3.3","-3.1","-3.5","2.5","82","2.9","332","3.7","-","1024.7"
"Jyväskylä lentoasema AWOS","2024","3","9","05:00","-3.5","-3.3","-3.6","2.6","83","3.1","327","3.8","-","1024.6"
"Jyväskylä lentoasema AWOS","2024","3","9","06:00","-3.4","-3.3","-3.5","2.6","80","3.1","338","4.2","-","1024.8"
"Jyväskylä lentoasema AWOS","2024","3","9","07:00","-3.3","-3.2","-3.4","2.8","76","3.8","349","5.3","-","1024.9"
"Jyväskylä lentoasema AWOS","2024","3","9","08:00","-3.2","-3","-3.3","3.4","78","4","354","5.6","-","1025"
"Jyväskylä lentoasema AWOS","2024","3","9","09:00","-2.9","-2.5","-3.1","3.4","75","4","2","5.4","-","1025"
"Jyväskylä lentoasema AWOS","2024","3","9","10:00","-2.4","-2.2","-2.6","3.4","68","3.7","5","5.1","-","1025"
"Jyväskylä lentoasema AWOS","2024","3","9","11:00","-2.2","-2","-2.3","3.8","62","4.2","358","5.9","-","1025.1"
"Jyväskylä lentoasema AWOS","2024","3","9","12:00","-2.1","-1.8","-2.3","3.4","60","4.2","12","5.7","-","1025.1"
"Jyväskylä lentoasema AWOS","2024","3","9","13:00","-1.5","-1.2","-1.9","3.6","57","4","7","5.5","-","1025"
"Jyväskylä lentoasema AWOS","2024","3","9","14:00","-1.4","-1.1","-1.5","3.9","57","4.3","13","6.3","-","1025.1"
"Jyväskylä lentoasema AWOS","2024","3","9","15:00","-1.3","-0.9","-1.4","2.5","58","3.7","1","4.5","-","1024.9"
"Jyväskylä lentoasema AWOS","2024","3","9","16:00","-1.3","-1.1","-1.7","1.3","61","1.8","325","2.4","-","1024.7"
"Jyväskylä lentoasema AWOS","2024","3","9","17:00","-2","-1.6","-2.6","1.4","66","1.8","292","2.2","-","1024.6"
"Jyväskylä lentoasema AWOS","2024","3","9","18:00","-4.1","-2.5","-5.3","1.7","73","1.9","290","2.3","-","1024.8"
"Jyväskylä lentoasema AWOS","2024","3","9","19:00","-5.2","-3.3","-6.8","2.1","76","2.3","320","3","-","1025"
"Jyväskylä lentoasema AWOS","2024","3","9","20:00","-6.5","-5.7","-7.2","1.7","79","2.3","309","2.6","-","1025.3"
"Jyväskylä lentoasema AWOS","2024","3","9","21:00","-7","-5.5","-8.1","1.1","82","1.4","336","2.3","-","1025.3"
"Jyväskylä lentoasema AWOS","2024","3","9","22:00","-6.2","-5.7","-7.8","2.1","80","2.5","303","3.2","-","1025.3"
"Jyväskylä lentoasema AWOS","2024","3","9","23:00","-5.7","-5.1","-6.2","2.4","81","2.8","319","3.9","-","1025.3"
"Jyväskylä lentoasema AWOS","2024","3","10","00:00","-6.7","-6.2","-7.1","2.4","84","2.7","309","3.6","-","1025.4"
"Jyväskylä lentoasema AWOS","2024","3","10","01:00","-6.2","-5.7","-6.6","2.7","86","3.3","303","4","-","1025.4"
"Jyväskylä lentoasema AWOS","2024","3","10","02:00","-6.6","-5.9","-7","3","86","3.3","303","4.2","-","1025.4"
"Jyväskylä lentoasema AWOS","2024","3","10","03:00","-5.6","-4.8","-6.4","2.9","86","3.1","307","3.8","-","1025.4"
"Jyväskylä lentoasema AWOS","2024","3","10","04:00","-5","-4.7","-5.2","2.2","86","2.8","300","3.2","-","1025.4"
"Jyväskylä lentoasema AWOS","2024","3","10","05:00","-4.8","-4.6","-5","1.9","86","2.5","305","3.4","-","1025.4"
"Jyväskylä lentoasema AWOS","2024","3","10","06:00","-4.5","-4","-4.8","2.1","86","2.4","301","3.6","-","1025.6"
"Jyväskylä lentoasema AWOS","2024","3","10","07:00","-3.8","-3.3","-4.1","2.1","84","2.4","302","3.2","-","1025.8"
"Jyväskylä lentoasema AWOS","2024","3","10","08:00","-2.9","-2.2","-3.5","2.3","82","2.6","306","3.5","-","1025.8"
"Jyväskylä lentoasema AWOS","2024","3","10","09:00","-1.9","-1.3","-2.3","2.6","79","3","311","4","-","1026"
"Jyväskylä lentoasema AWOS","2024","3","10","10:00","-0.7","-0.1","-1.4","2.5","75","2.8","310","4.2","-","1025.9"
"Jyväskylä lentoasema AWOS","2024","3","10","11:00","0.3","0.7","-0.1","2.5","72","2.9","310","4.2","-","1025.8"
"Jyväskylä lentoasema AWOS","2024","3","10","12:00","1.5","2.1","0.7","2.7","65","2.9","300","4.1","-","1025.5"
"Jyväskylä lentoasema AWOS","2024","3","10","13:00","2.3","2.6","1.9","3","61","3.5","300","5.7","-","1025.2"
"Jyväskylä lentoasema AWOS","2024","3","10","14:00","2.8","3.1","2.2","3.2","57","3.6","297","5.1","-","1025"
"Jyväskylä lentoasema AWOS","2024","3","10","15:00","2.7","3.1","2.3","3.6","57","4.1","293","6","-","1024.9"
"Jyväskylä lentoasema AWOS","2024","3","10","16:00","2.3","2.6","1.9","3.4","59","3.7","290","5.4","-","1024.8"
"Jyväskylä lentoasema AWOS","2024","3","10","17:00","1.5","2","1","3.5","65","3.8","284","5.3","-","1025"
"Jyväskylä lentoasema AWOS","2024","3","10","18:00","0.8","1.2","0.5","3.4","69","3.9","286","5.8","-","1025.3"
"Jyväskylä lentoasema AWOS","2024","3","10","19:00","0.4","0.6","0.1","3.3","73","3.8","283","5.9","-","1025.4"
"Jyväskylä lentoasema AWOS","2024","3","10","20:00","-0.2","0.2","-0.5","3","76","3.7","292","5.7","-","1025.4"
"Jyväskylä lentoasema AWOS","2024","3","10","21:00","-0.5","-0.3","-0.7","2.6","77","2.8","296","4.2","-","1025.4"
"Jyväskylä lentoasema AWOS","2024","3","10","22:00","-0.7","-0.4","-0.9","3.1","75","3.5","285","5.2","-","1025.4"
"Jyväskylä lentoasema AWOS","2024","3","10","23:00","-0.6","-0.4","-0.7","3.3","71","3.6","278","4.9","-","1025.4"
"Jyväskylä lentoasema AWOS","2024","3","11","00:00","-0.7","-0.6","-1.1","2.6","71","3","270","4.1","-","1025.4"
"Jyväskylä lentoasema AWOS","2024","3","11","01:00","-1.8","-1","-2.6","2.4","75","2.6","270","3.5","-","1025.6"
"Jyväskylä lentoasema AWOS","2024","3","11","02:00","-2.8","-2","-4.2","2.1","78","2.4","273","3.5","-","1025.7"
"Jyväskylä lentoasema AWOS","2024","3","11","03:00","-4.9","-3.4","-6","0.8","86","1.5","285","2","-","1025.9"
"Jyväskylä lentoasema AWOS","2024","3","11","04:00","-6.1","-5.5","-7.3","0.9","91","1.3","6","1.6","-","1025.9"
"Jyväskylä lentoasema AWOS","2024","3","11","05:00","-7.1","-6.2","-7.9","1.7","93","2.3","326","2.6","-","1026"
"Jyväskylä lentoasema AWOS","2024","3","11","06:00","-7.1","-6.3","-7.7","1.2","90","1.8","310","2.3","-","1025.9"
"Jyväskylä lentoasema AWOS","2024","3","11","07:00","-6","-5.1","-6.7","2","88","2.8","323","3.7","-","1026.1"
"Jyväskylä lentoasema AWOS","2024","3","11","08:00","-4.5","-3.2","-5.8","2","83","2.8","302","3.3","-","1026.2"
"Jyväskylä lentoasema AWOS","2024","3","11","09:00","-2.6","-1.7","-3.3","2.7","77","3.6","303","4.7","-","1026.2"
"Jyväskylä lentoasema AWOS","2024","3","11","10:00","-1.2","-0.6","-1.7","3","71","3.5","297","4.8","-","1026.1"
"Jyväskylä lentoasema AWOS","2024","3","11","11:00","0","0.7","-0.6","3.3","66","4.1","298","5.4","-","1026"
"Jyväskylä lentoasema AWOS","2024","3","11","12:00","1.2","1.9","0.6","3.1","59","3.7","303","5.7","-","1025.8"
"Jyväskylä lentoasema AWOS","2024","3","11","13:00","1.9","2.5","1.2","3.3","55","4.5","287","6.3","-","1025.5"
"Jyväskylä lentoasema AWOS","2024","3","11","14:00","2.1","2.5","1.3","3","53","3.8","300","5.5","-","1025.3"
"Jyväskylä lentoasema AWOS","2024","3","11","15:00","1.9","2.4","1","2.6","53","3","266","4.3","-","1025.1"
"Jyväskylä lentoasema AWOS","2024","3","11","16:00","0.1","1.9","-1.8","1.6","60","2.4","268","3.3","-","1025.1"
"Jyväskylä lentoasema AWOS","2024","3","11","17:00","-2.7","-1.9","-3.2","0.7","74","1.1","243","1.5","-","1025.3"
"Jyväskylä lentoasema AWOS","2024","3","11","18:00","-4.2","-3.2","-5.1","0.3","81","0.6","236","0.8","-","1025.4"
"Jyväskylä lentoasema AWOS","2024","3","11","19:00","-5.4","-4.8","-6.3","0.2","86","0.3","172","0.5","-","1025.4"
"Jyväskylä lentoasema AWOS","2024","3","11","20:00","-6.7","-6.1","-7.8","0.5","89","0.8","301","1.1","-","1025.6"
"Jyväskylä lentoasema AWOS","2024","3","11","21:00","-7.5","-6.7","-8.5","0.3","90","0.4","259","0.7","-","1025.7"
"Jyväskylä lentoasema AWOS","2024","3","11","22:00","-8.4","-7.8","-8.8","0.2","92","0.3","231","0.4","-","1025.8"
"Jyväskylä lentoasema AWOS","2024","3","11","23:00","-9.1","-8.6","-9.5","0.2","93","0.3","248","0.5","-","1025.9"
"Jyväskylä lentoasema AWOS","2024","3","12","00:00","-9.6","-9.3","-10.5","0.4","91","0.7","251","0.8","-","1025.8"
"Jyväskylä lentoasema AWOS","2024","3","12","01:00","-10.6","-10.1","-11","0.5","91","0.7","205","0.9","-","1025.7"
"Jyväskylä lentoasema AWOS","2024","3","12","02:00","-11.4","-11","-11.8","0.3","91","0.4","215","0.5","-","1025.5"
"Jyväskylä lentoasema AWOS","2024","3","12","03:00","-12.1","-11.8","-12.5","0.4","90","0.5","230","0.6","-","1025.1"
"Jyväskylä lentoasema AWOS","2024","3","12","04:00","-12.7","-11.9","-13.3","0.3","89","0.5","244","0.7","-","1025"
"Jyväskylä lentoasema AWOS","2024","3","12","05:00","-13.6","-13.3","-14.1","0.5","88","0.7","189","0.9","-","1024.7"
"Jyväskylä lentoasema AWOS","2024","3","12","06:00","-12.9","-10.8","-14","0.2","87","0.4","252","0.8","-","1024.4"
"Jyväskylä lentoasema AWOS","2024","3","12","07:00","-10.6","-8.7","-12.1","0.8","84","1.3","118","1.4","-","1024.4"
"Jyväskylä lentoasema AWOS","2024","3","12","08:00","-7.9","-6.5","-8.7","1.6","83","1.9","130","2.1","-","1023.9"
"Jyväskylä lentoasema AWOS","2024","3","12","09:00","-4.6","-3.2","-6.5","2.4","76","2.6","127","2.9","-","1023.4"
"Jyväskylä lentoasema AWOS","2024","3","12","10:00","-1.1","0.3","-3.1","3","65","3.4","147","5.5","-","1022.7"
"Jyväskylä lentoasema AWOS","2024","3","12","11:00","1.2","2.4","0.1","3.2","58","4.1","189","5.6","-","1022.2"
"Jyväskylä lentoasema AWOS","2024","3","12","12:00","2","3.1","1.6","3","52","3.7","181","5.1","-","1021.6"
"Jyväskylä lentoasema AWOS","2024","3","12","13:00","2.4","2.7","1.9","4.1","52","4.9","147","6.4","-","1020.9"
"Jyväskylä lentoasema AWOS","2024","3","12","14:00","2.2","2.4","2","4.1","53","5.2","155","6.5","-","1020.4"
"Jyväskylä lentoasema AWOS","2024","3","12","15:00","2","2.3","1.7","3.7","50","5","180","6.5","-","1019.9"
"Jyväskylä lentoasema AWOS","2024","3","12","16:00","1.3","2","0.5","2.5","54","3.4","171","4.5","-","1019.5"
"Jyväskylä lentoasema AWOS","2024","3","12","17:00","-1.6","0.5","-3","1.6","69","2.5","165","2.3","-","1019.6"
"Jyväskylä lentoasema AWOS","2024","3","12","18:00","-3.7","-3","-4.2","1.1","82","1.9","157","2.2","-","1019.4"
"Jyväskylä lentoasema AWOS","2024","3","12","19:00","-4.9","-4.1","-5.6","0.6","86","0.9","137","1.5","-","1019.1"
"Jyväskylä lentoasema AWOS","2024","3","12","20:00","-6","-5.4","-6.6","0.4","90","1","146","1.2","-","1019"
"Jyväskylä lentoasema AWOS","2024","3","12","21:00","-6.7","-6.2","-7.5","0.5","89","0.8","124","1.3","-","1018.9"
"Jyväskylä lentoasema AWOS","2024","3","12","22:00","-7.7","-7.3","-8.3","1.5","94","2.3","145","2.5","-","1018.7"
"Jyväskylä lentoasema AWOS","2024","3","12","23:00","-8.1","-7.6","-8.7","0.6","95","1.9","135","1.9","-","1018.4"
"Jyväskylä lentoasema AWOS","2024","3","13","00:00","-8.9","-8.5","-9.6","0.3","91","0.5","329","0.8","-","1018.1"
"Jyväskylä lentoasema AWOS","2024","3","13","01:00","-9.9","-9.4","-10.3","0.4","90","0.6","312","0.8","-","1017.9"
"Jyväskylä lentoasema AWOS","2024","3","13","02:00","-10.6","-9.5","-11.3","0.4","91","0.7","147","1.1","-","1017.7"
"Jyväskylä lentoasema AWOS","2024","3","13","03:00","-11.2","-10.7","-11.5","0.3","90","0.7","149","0.8","-","1017.4"
"Jyväskylä lentoasema AWOS","2024","3","13","04:00","-11.6","-11.1","-12","0.4","90","0.7","189","1","-","1017.1"
"Jyväskylä lentoasema AWOS","2024","3","13","05:00","-11.3","-10.2","-11.9","0.6","88","0.9","120","1.2","-","1016.9"
"Jyväskylä lentoasema AWOS","2024","3","13","06:00","-9.6","-8.5","-10.1","1.6","88","1.9","123","2.2","-","1016.6"
"Jyväskylä lentoasema AWOS","2024","3","13","07:00","-7.9","-6.4","-8.5","1.9","88","3.3","142","3.9","-","1016.1"
"Jyväskylä lentoasema AWOS","2024","3","13","08:00","-4.7","-3.9","-6.2","1.4","81","2.3","161","3.2","-","1015.9"
"Jyväskylä lentoasema AWOS","2024","3","13","09:00","-2.4","-1","-3.7","3","73","3.5","181","5","-","1015.4"
"Jyväskylä lentoasema AWOS","2024","3","13","10:00","0.4","2.1","-1","2.8","66","3.5","187","5.1","-","1014.9"
"Jyväskylä lentoasema AWOS","2024","3","13","11:00","2.7","3.2","2.1","3","63","4","187","5.3","-","1014.6"
"Jyväskylä lentoasema AWOS","2024","3","13","12:00","2.8","3.3","2.3","3.9","67","4.8","197","6.9","-","1014.4"
