"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Ilmanpaineen keskiarvo [hPa]","Tunnin sademäärä [mm]","Kovin puuska [m/s]","Tuulen suunnan keskiarvo [°]","Kovin keskituulen nopeus [m/s]","Keskituulen nopeus [m/s]","Suhteellisen kosteuden keskiarvo [%]","Alin lämpötila [°C]","Ylin lämpötila [°C]","Lämpötilan keskiarvo [°C]"
"Jyväskylä lentoasema","2024","3","7","07:00","-","0","-","-","-","-","97","-4.7","-4.5","-4.6"
"Jyväskylä lentoasema","2024","3","7","08:00","-","0","-","-","-","-","96","-4.7","-4.5","-4.6"
"Jyväskylä lentoasema","2024","3","7","09:00","-","0","-","-","-","-","96","-4.6","-4.3","-4.4"
"Jyväskylä lentoasema","2024","3","7","10:00","-","0","-","-","-","-","96","-4.4","-4.1","-4.2"
"Jyväskylä lentoasema","2024","3","7","11:00","-","0","-","-","-","-","96","-4.2","-3.6","-3.9"
"Jyväskylä lentoasema","2024","3","7","12:00","-","0","-","-","-","-","94","-3.8","-3.3","-3.6"
"Jyväskylä lentoasema","2024","3","7","13:00","-","0","-","-","-","-","92","-3.7","-3","-3.3"
"Jyväskylä lentoasema","2024","3","7","14:00","-","0","-","-","-","-","93","-3.4","-3.1","-3.2"
"Jyväskylä lentoasema","2024","3","7","15:00","-","0","-","-","-","-","93","-3.6","-3","-3.3"
"Jyväskylä lentoasema","2024","3","7","16:00","-","0","-","-","-","-","94","-4.1","-3.5","-3.8"
"Jyväskylä lentoasema","2024","3","7","17:00","-","0","-","-","-","-","96","-4.5","-3.9","-4.2"
"Jyväskylä lentoasema","2024","3","7","18:00","-","0","-","-","-","-","97","-4.7","-4.4","-4.5"
"Jyväskylä lentoasema","2024","3","7","19:00","-","0","-","-","-","-","98","-4.7","-4.5","-4.6"
"Jyväskylä lentoasema","2024","3","7","20:00","-","0","-","-","-","-","97","-4.7","-4.5","-4.6"
"Jyväskylä lentoasema","2024","3","7","21:00","-","0","-","-","-","-","97","-4.8","-4.6","-4.7"
"Jyväskylä lentoasema","2024","3","7","22:00","-","0","-","-","-","-","97","-4.9","-4.7","-4.8"
"Jyväskylä lentoasema","2024","3","7","23:00","-","0","-","-","-","-","97","-5","-4.9","-5"
"Jyväskylä lentoasema","2024","3","8","00:00","-","0","-","-","-","-","97","-5.1","-4.9","-5"
"Jyväskylä lentoasema","2024","3","8","01:00","-","0","-","-","-","-","96","-5.2","-5","-5.1"
"Jyväskylä lentoasema","2024","3","8","02:00","-","0","-","-","-","-","96","-5.3","-5.2","-5.3"
"Jyväskylä lentoasema","2024","3","8","03:00","-","0","-","-","-","-","96","-5.4","-5.3","-5.3"
"Jyväskylä lentoasema","2024","3","8","04:00","-","0","-","-","-","-","96","-5.4","-5.3","-5.4"
"Jyväskylä lentoasema","2024","3","8","05:00","-","0","-","-","-","-","96","-5.5","-5.4","-5.4"
"Jyväskylä lentoasema","2024","3","8","06:00","-","0","-","-","-","-","96","-5.5","-5.3","-5.4"
"Jyväskylä lentoasema","2024","3","8","07:00","-","0","-","-","-","-","96","-5.3","-4.9","-5.1"
"Jyväskylä lentoasema","2024","3","8","08:00","-","0","-","-","-","-","96","-4.9","-4.3","-4.6"
"Jyväskylä lentoasema","2024","3","8","09:00","-","0","-","-","-","-","96","-4.3","-3.6","-4"
"Jyväskylä lentoasema","2024","3","8","10:00","-","0","-","-","-","-","96","-3.6","-3","-3.3"
"Jyväskylä lentoasema","2024","3","8","11:00","-","0","-","-","-","-","93","-3.1","-2.5","-2.8"
"Jyväskylä lentoasema","2024","3","8","12:00","-","0","-","-","-","-","83","-2.6","-1.9","-2.1"
"Jyväskylä lentoasema","2024","3","8","13:00","-","0","-","-","-","-","78","-2.2","-1.9","-2"
"Jyväskylä lentoasema","2024","3","8","14:00","-","0","-","-","-","-","77","-1.9","-1.4","-1.6"
"Jyväskylä lentoasema","2024","3","8","15:00","-","0","-","-","-","-","74","-1.5","-1.3","-1.4"
"Jyväskylä lentoasema","2024","3","8","16:00","-","0","-","-","-","-","76","-1.6","-1.3","-1.4"
"Jyväskylä lentoasema","2024","3","8","17:00","-","0","-","-","-","-","76","-1.6","-1.3","-1.5"
"Jyväskylä lentoasema","2024","3","8","18:00","-","0","-","-","-","-","76","-1.9","-1.4","-1.7"
"Jyväskylä lentoasema","2024","3","8","19:00","-","0","-","-","-","-","80","-2.4","-1.8","-2.1"
"Jyväskylä lentoasema","2024","3","8","20:00","-","0","-","-","-","-","83","-2.6","-2.1","-2.4"
"Jyväskylä lentoasema","2024","3","8","21:00","-","0","-","-","-","-","84","-2.8","-2.4","-2.6"
"Jyväskylä lentoasema","2024","3","8","22:00","-","0","-","-","-","-","84","-2.9","-2.4","-2.7"
"Jyväskylä lentoasema","2024","3","8","23:00","-","0","-","-","-","-","84","-3","-2.6","-2.8"
"Jyväskylä lentoasema","2024","3","9","00:00","-","0","-","-","-","-","84","-3.2","-2.9","-3"
"Jyväskylä lentoasema","2024","3","9","01:00","-","0","-","-","-","-","83","-3.1","-2.8","-3"
"Jyväskylä lentoasema","2024","3","9","02:00","-","0","-","-","-","-","85","-3.5","-3","-3.3"
"Jyväskylä lentoasema","2024","3","9","03:00","-","0","-","-","-","-","86","-3.7","-3.4","-3.5"
"Jyväskylä lentoasema","2024","3","9","04:00","-","0","-","-","-","-","86","-3.8","-3.5","-3.7"
"Jyväskylä lentoasema","2024","3","9","05:00","-","0","-","-","-","-","85","-3.9","-3.6","-3.8"
"Jyväskylä lentoasema","2024","3","9","06:00","-","0","-","-","-","-","84","-4.1","-3.6","-3.8"
"Jyväskylä lentoasema","2024","3","9","07:00","-","0","-","-","-","-","80","-3.8","-3.4","-3.6"
"Jyväskylä lentoasema","2024","3","9","08:00","-","0","-","-","-","-","80","-3.6","-3.2","-3.4"
"Jyväskylä lentoasema","2024","3","9","09:00","-","0","-","-","-","-","77","-3.3","-2.9","-3.1"
"Jyväskylä lentoasema","2024","3","9","10:00","-","0","-","-","-","-","73","-2.9","-2.5","-2.7"
"Jyväskylä lentoasema","2024","3","9","11:00","-","0","-","-","-","-","66","-2.7","-2.5","-2.6"
"Jyväskylä lentoasema","2024","3","9","12:00","-","0","-","-","-","-","63","-2.6","-2.2","-2.4"
"Jyväskylä lentoasema","2024","3","9","13:00","-","0","-","-","-","-","62","-2.2","-1.8","-1.9"
"Jyväskylä lentoasema","2024","3","9","14:00","-","0","-","-","-","-","62","-1.9","-1.6","-1.7"
"Jyväskylä lentoasema","2024","3","9","15:00","-","0","-","-","-","-","64","-2.4","-1.7","-1.9"
"Jyväskylä lentoasema","2024","3","9","16:00","-","0","-","-","-","-","68","-2.2","-1.8","-2"
"Jyväskylä lentoasema","2024","3","9","17:00","-","0","-","-","-","-","69","-3.3","-2","-2.5"
"Jyväskylä lentoasema","2024","3","9","18:00","-","0","-","-","-","-","77","-6.1","-3.4","-5"
"Jyväskylä lentoasema","2024","3","9","19:00","-","0","-","-","-","-","78","-6.5","-4.9","-5.7"
"Jyväskylä lentoasema","2024","3","9","20:00","-","0","-","-","-","-","73","-6.3","-3.7","-4.4"
"Jyväskylä lentoasema","2024","3","9","21:00","-","0","-","-","-","-","79","-7.3","-5.2","-6.1"
"Jyväskylä lentoasema","2024","3","9","22:00","-","0","-","-","-","-","78","-6.7","-4.1","-4.7"
"Jyväskylä lentoasema","2024","3","9","23:00","-","0","-","-","-","-","81","-5.7","-4.2","-4.9"
"Jyväskylä lentoasema","2024","3","10","00:00","-","0","-","-","-","-","84","-5.8","-4.5","-4.9"
"Jyväskylä lentoasema","2024","3","10","01:00","-","0","-","-","-","-","85","-4.9","-4.6","-4.8"
"Jyväskylä lentoasema","2024","3","10","02:00","-","0","-","-","-","-","87","-5.6","-4.9","-5.2"
"Jyväskylä lentoasema","2024","3","10","03:00","-","0","-","-","-","-","87","-5.3","-4.9","-5"
"Jyväskylä lentoasema","2024","3","10","04:00","-","0","-","-","-","-","86","-4.9","-4.5","-4.7"
"Jyväskylä lentoasema","2024","3","10","05:00","-","0","-","-","-","-","86","-4.9","-4.3","-4.5"
"Jyväskylä lentoasema","2024","3","10","06:00","-","0","-","-","-","-","85","-4.5","-3.9","-4.1"
"Jyväskylä lentoasema","2024","3","10","07:00","-","0","-","-","-","-","83","-3.9","-3.2","-3.5"
"Jyväskylä lentoasema","2024","3","10","08:00","-","0","-","-","-","-","82","-3.4","-2.1","-2.7"
"Jyväskylä lentoasema","2024","3","10","09:00","-","0","-","-","-","-","79","-2.1","-1.2","-1.7"
"Jyväskylä lentoasema","2024","3","10","10:00","-","0","-","-","-","-","74","-1.2","0.2","-0.5"
"Jyväskylä lentoasema","2024","3","10","11:00","-","0","-","-","-","-","71","0","1.2","0.5"
"Jyväskylä lentoasema","2024","3","10","12:00","-","0","-","-","-","-","65","1.1","2.2","1.7"
"Jyväskylä lentoasema","2024","3","10","13:00","-","0","-","-","-","-","59","2.2","2.9","2.5"
"Jyväskylä lentoasema","2024","3","10","14:00","-","0","-","-","-","-","57","2.7","3","2.9"
"Jyväskylä lentoasema","2024","3","10","15:00","-","0","-","-","-","-","58","2.3","2.8","2.6"
"Jyväskylä lentoasema","2024","3","10","16:00","-","0","-","-","-","-","63","1.7","2.4","2.1"
"Jyväskylä lentoasema","2024","3","10","17:00","-","0","-","-","-","-","68","0.9","1.7","1.3"
"Jyväskylä lentoasema","2024","3","10","18:00","-","0","-","-","-","-","73","0.3","0.9","0.6"
"Jyväskylä lentoasema","2024","3","10","19:00","-","0","-","-","-","-","75","0","0.4","0.2"
"Jyväskylä lentoasema","2024","3","10","20:00","-","0","-","-","-","-","77","-0.5","0","-0.2"
"Jyväskylä lentoasema","2024","3","10","21:00","-","0","-","-","-","-","76","-0.7","-0.4","-0.5"
"Jyväskylä lentoasema","2024","3","10","22:00","-","0","-","-","-","-","75","-0.7","-0.5","-0.6"
"Jyväskylä lentoasema","2024","3","10","23:00","-","0","-","-","-","-","73","-0.7","-0.6","-0.6"
"Jyväskylä lentoasema","2024","3","11","00:00","-","0","-","-","-","-","73","-1.1","-0.7","-0.8"
"Jyväskylä lentoasema","2024","3","11","01:00","-","0","-","-","-","-","77","-2.3","-1.1","-1.8"
"Jyväskylä lentoasema","2024","3","11","02:00","-","0","-","-","-","-","81","-3.5","-2.4","-2.8"
"Jyväskylä lentoasema","2024","3","11","03:00","-","0","-","-","-","-","90","-5.9","-3.5","-5"
"Jyväskylä lentoasema","2024","3","11","04:00","-","0","-","-","-","-","93","-6.6","-5.3","-5.8"
"Jyväskylä lentoasema","2024","3","11","05:00","-","0","-","-","-","-","94","-7","-6","-6.3"
"Jyväskylä lentoasema","2024","3","11","06:00","-","0","-","-","-","-","92","-8.4","-5.7","-7.3"
"Jyväskylä lentoasema","2024","3","11","07:00","-","0","-","-","-","-","90","-6.9","-5","-5.9"
"Jyväskylä lentoasema","2024","3","11","08:00","-","0","-","-","-","-","83","-5.1","-3","-4"
"Jyväskylä lentoasema","2024","3","11","09:00","-","0","-","-","-","-","76","-3","-1.5","-2.3"
"Jyväskylä lentoasema","2024","3","11","10:00","-","0","-","-","-","-","71","-1.7","-0.6","-1.1"
"Jyväskylä lentoasema","2024","3","11","11:00","-","0","-","-","-","-","66","-0.6","0.8","0"
"Jyväskylä lentoasema","2024","3","11","12:00","-","0","-","-","-","-","61","0.4","2","1.2"
"Jyväskylä lentoasema","2024","3","11","14:00","-","0","-","-","-","-","53","1.6","2.7","2.3"
"Jyväskylä lentoasema","2024","3","11","15:00","-","0","-","-","-","-","54","1.4","2.4","2"
"Jyväskylä lentoasema","2024","3","11","16:00","-","0","-","-","-","-","64","-1.5","1.4","-0.3"
"Jyväskylä lentoasema","2024","3","11","17:00","-","0","-","-","-","-","71","-4.4","-1.5","-2.1"
"Jyväskylä lentoasema","2024","3","11","18:00","-","0","-","-","-","-","85","-5.8","-4.3","-4.9"
"Jyväskylä lentoasema","2024","3","11","19:00","-","0","-","-","-","-","89","-6.5","-4.8","-5.6"
"Jyväskylä lentoasema","2024","3","11","20:00","-","0","-","-","-","-","93","-7.6","-6.5","-7.1"
"Jyväskylä lentoasema","2024","3","11","21:00","-","0","-","-","-","-","94","-8.3","-7.2","-8"
"Jyväskylä lentoasema","2024","3","11","22:00","-","0","-","-","-","-","96","-9.2","-8.3","-8.8"
"Jyväskylä lentoasema","2024","3","11","23:00","-","0","-","-","-","-","96","-9.7","-8.9","-9.3"
"Jyväskylä lentoasema","2024","3","12","00:00","-","0","-","-","-","-","94","-10.7","-9.7","-10.2"
"Jyväskylä lentoasema","2024","3","12","01:00","-","0","-","-","-","-","93","-11.1","-10.4","-10.8"
"Jyväskylä lentoasema","2024","3","12","02:00","-","0","-","-","-","-","93","-11.7","-10.7","-11.3"
"Jyväskylä lentoasema","2024","3","12","03:00","-","0","-","-","-","-","92","-12.7","-11.6","-11.9"
"Jyväskylä lentoasema","2024","3","12","04:00","-","0","-","-","-","-","91","-13","-12","-12.5"
"Jyväskylä lentoasema","2024","3","12","05:00","-","0","-","-","-","-","90","-13.5","-12","-13"
"Jyväskylä lentoasema","2024","3","12","06:00","-","0","-","-","-","-","90","-13.3","-11.2","-12.6"
"Jyväskylä lentoasema","2024","3","12","07:00","-","0","-","-","-","-","88","-12","-9","-10.6"
"Jyväskylä lentoasema","2024","3","12","08:00","-","0","-","-","-","-","87","-9.3","-6.3","-8.1"
"Jyväskylä lentoasema","2024","3","12","09:00","-","0","-","-","-","-","79","-6.3","-2.9","-4.8"
"Jyväskylä lentoasema","2024","3","12","10:00","-","0","-","-","-","-","65","-3.1","0.6","-0.9"
"Jyväskylä lentoasema","2024","3","12","11:00","-","0","-","-","-","-","55","0.5","2.7","1.8"
"Jyväskylä lentoasema","2024","3","12","12:00","-","0","-","-","-","-","51","2.3","3.5","2.8"
"Jyväskylä lentoasema","2024","3","12","13:00","-","0","-","-","-","-","52","2.4","3.4","2.7"
"Jyväskylä lentoasema","2024","3","12","14:00","-","0","-","-","-","-","52","2.3","3.3","2.6"
"Jyväskylä lentoasema","2024","3","12","15:00","-","0","-","-","-","-","51","1.7","2.9","2.4"
"Jyväskylä lentoasema","2024","3","12","16:00","-","0","-","-","-","-","59","-1.1","1.5","0.4"
"Jyväskylä lentoasema","2024","3","12","17:00","-","0","-","-","-","-","70","-2.6","-1.2","-1.8"
"Jyväskylä lentoasema","2024","3","12","18:00","-","0","-","-","-","-","77","-4","-2.6","-3.3"
"Jyväskylä lentoasema","2024","3","12","19:00","-","0","-","-","-","-","85","-5.1","-4","-4.7"
"Jyväskylä lentoasema","2024","3","12","20:00","-","0","-","-","-","-","88","-6.4","-5.1","-5.6"
"Jyväskylä lentoasema","2024","3","12","21:00","-","0","-","-","-","-","91","-7.4","-5.7","-6.5"
"Jyväskylä lentoasema","2024","3","12","22:00","-","0","-","-","-","-","92","-6.2","-5.8","-6"
"Jyväskylä lentoasema","2024","3","12","23:00","-","0","-","-","-","-","92","-9.2","-5.9","-6.9"
"Jyväskylä lentoasema","2024","3","13","00:00","-","0","-","-","-","-","94","-9.5","-8","-8.6"
"Jyväskylä lentoasema","2024","3","13","01:00","-","0","-","-","-","-","95","-10.3","-9.2","-9.6"
"Jyväskylä lentoasema","2024","3","13","02:00","-","0","-","-","-","-","94","-11.1","-9.4","-10.2"
"Jyväskylä lentoasema","2024","3","13","03:00","-","0","-","-","-","-","94","-11.2","-10.2","-10.8"
"Jyväskylä lentoasema","2024","3","13","04:00","-","0","-","-","-","-","93","-11.6","-10.5","-11"
"Jyväskylä lentoasema","2024","3","13","05:00","-","0","-","-","-","-","92","-11.1","-9.6","-10.7"
"Jyväskylä lentoasema","2024","3","13","06:00","-","0","-","-","-","-","91","-9.6","-8.5","-9.1"
"Jyväskylä lentoasema","2024","3","13","07:00","-","0","-","-","-","-","91","-8.8","-6.1","-7.9"
"Jyväskylä lentoasema","2024","3","13","08:00","-","0","-","-","-","-","83","-6.6","-2.7","-4.4"
"Jyväskylä lentoasema","2024","3","13","09:00","-","0","-","-","-","-","74","-3.2","-0.7","-2.2"
"Jyväskylä lentoasema","2024","3","13","10:00","-","0","-","-","-","-","65","-0.8","2.9","1.3"
"Jyväskylä lentoasema","2024","3","13","11:00","-","0","-","-","-","-","64","2.3","3.3","2.8"
"Jyväskylä lentoasema","2024","3","13","12:00","-","0","-","-","-","-","68","2.2","3.4","2.8"
"Jyväskylä lentoasema","2024","3","13","13:00","-","0","-","-","-","-","75","2.2","2.4","2.3"
"Jyväskylä lentoasema","2024","3","13","14:00","-","0","-","-","-","-","75","1.8","2.5","2.3"
"Jyväskylä lentoasema","2024","3","13","15:00","-","0","-","-","-","-","75","1.5","2","1.8"
"Jyväskylä lentoasema","2024","3","13","16:00","-","0","-","-","-","-","75","1","1.5","1.3"
"Jyväskylä lentoasema","2024","3","13","17:00","-","0","-","-","-","-","80","0.5","1","0.7"
"Jyväskylä lentoasema","2024","3","13","18:00","-","0","-","-","-","-","78","0.6","0.9","0.7"
"Jyväskylä lentoasema","2024","3","13","19:00","-","0","-","-","-","-","79","0.4","0.7","0.5"
"Jyväskylä lentoasema","2024","3","13","20:00","-","0","-","-","-","-","83","0.3","0.5","0.4"
"Jyväskylä lentoasema","2024","3","13","21:00","-","0","-","-","-","-","92","-0.2","0.4","0"
"Jyväskylä lentoasema","2024","3","13","22:00","-","0.1","-","-","-","-","97","-0.2","0","-0.2"
"Jyväskylä lentoasema","2024","3","13","23:00","-","0.2","-","-","-","-","98","-0.1","0.2","0.1"
"Jyväskylä lentoasema","2024","3","14","00:00","-","0","-","-","-","-","99","0.2","0.5","0.4"
"Jyväskylä lentoasema","2024","3","14","01:00","-","0","-","-","-","-","98","0.5","0.7","0.6"
"Jyväskylä lentoasema","2024","3","14","02:00","-","0","-","-","-","-","98","0.5","0.7","0.6"
"Jyväskylä lentoasema","2024","3","14","03:00","-","0","-","-","-","-","98","0.6","0.7","0.6"
"Jyväskylä lentoasema","2024","3","14","04:00","-","0","-","-","-","-","98","0.6","0.7","0.7"
"Jyväskylä lentoasema","2024","3","14","05:00","-","0","-","-","-","-","98","0.7","0.8","0.8"
"Jyväskylä lentoasema","2024","3","14","06:00","-","0.1","-","-","-","-","98","0.7","1","0.9"
"Jyväskylä lentoasema","2024","3","14","07:00","-","0.2","-","-","-","-","97","0.9","1.3","1.1"
"Jyväskylä lentoasema","2024","3","14","08:00","-","0.3","-","-","-","-","96","1.4","1.7","1.5"
"Jyväskylä lentoasema","2024","3","14","09:00","-","0.4","-","-","-","-","95","1.7","1.9","1.9"
"Jyväskylä lentoasema","2024","3","14","10:00","-","0.3","-","-","-","-","97","1.8","2.1","1.9"
"Jyväskylä lentoasema","2024","3","14","11:00","-","0.1","-","-","-","-","96","2","2.7","2.4"
"Jyväskylä lentoasema","2024","3","14","12:00","-","0.1","-","-","-","-","96","2.6","2.8","2.7"
"Jyväskylä lentoasema","2024","3","14","13:00","-","0.2","-","-","-","-","96","2.8","3.1","2.9"
"Jyväskylä lentoasema","2024","3","14","14:00","-","0","-","-","-","-","95","3","3.2","3.1"
"Jyväskylä lentoasema","2024","3","14","15:00","-","0.1","-","-","-","-","96","2.9","3.1","3"
"Jyväskylä lentoasema","2024","3","14","16:00","-","0","-","-","-","-","96","2.8","3","2.9"
"Jyväskylä lentoasema","2024","3","14","17:00","-","0","-","-","-","-","98","2.7","2.9","2.8"
"Jyväskylä lentoasema","2024","3","14","18:00","-","0","-","-","-","-","98","2.7","3.1","2.9"
"Jyväskylä lentoasema","2024","3","14","19:00","-","0","-","-","-","-","98","3","3.4","3.2"
"Jyväskylä lentoasema","2024","3","14","20:00","-","0","-","-","-","-","97","3.3","3.7","3.5"
"Jyväskylä lentoasema","2024","3","14","21:00","-","0","-","-","-","-","95","3.6","3.9","3.7"
"Jyväskylä lentoasema","2024","3","14","22:00","-","0","-","-","-","-","94","3.8","4.1","4"
"Jyväskylä lentoasema","2024","3","14","23:00","-","0","-","-","-","-","93","4","4.3","4.2"
"Jyväskylä lentoasema","2024","3","15","00:00","-","0","-","-","-","-","91","4.1","4.4","4.3"
"Jyväskylä lentoasema","2024","3","15","01:00","-","0","-","-","-","-","91","4.1","4.3","4.2"
"Jyväskylä lentoasema","2024","3","15","02:00","-","0","-","-","-","-","90","4","4.2","4.1"
"Jyväskylä lentoasema","2024","3","15","03:00","-","0","-","-","-","-","90","3.8","4.1","4"
"Jyväskylä lentoasema","2024","3","15","04:00","-","0","-","-","-","-","88","3.6","3.9","3.7"
"Jyväskylä lentoasema","2024","3","15","05:00","-","0","-","-","-","-","88","3.5","3.7","3.6"
"Jyväskylä lentoasema","2024","3","15","06:00","-","0","-","-","-","-","87","3.4","3.5","3.5"
"Jyväskylä lentoasema","2024","3","15","07:00","-","0","-","-","-","-","86","3.4","3.7","3.6"
"Jyväskylä lentoasema","2024","3","15","08:00","-","0","-","-","-","-","83","3.7","4.1","3.9"
"Jyväskylä lentoasema","2024","3","15","09:00","-","0","-","-","-","-","80","4","5.2","4.3"
"Jyväskylä lentoasema","2024","3","15","10:00","-","0","-","-","-","-","73","5.1","6","5.6"
"Jyväskylä lentoasema","2024","3","15","11:00","-","0","-","-","-","-","67","6","7.6","6.7"
"Jyväskylä lentoasema","2024","3","15","12:00","-","0","-","-","-","-","64","6.8","8.1","7.2"
"Jyväskylä lentoasema","2024","3","15","13:00","-","0","-","-","-","-","63","7.2","8.2","7.6"
