"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Ilmanpaineen keskiarvo [hPa]","Tunnin sademäärä [mm]","Kovin puuska [m/s]","Tuulen suunnan keskiarvo [°]","Kovin keskituulen nopeus [m/s]","Keskituulen nopeus [m/s]","Suhteellisen kosteuden keskiarvo [%]","Alin lämpötila [°C]","Ylin lämpötila [°C]","Lämpötilan keskiarvo [°C]"
"Jyväskylä lentoasema AWOS","2024","3","5","16:00","1034.4","-","1.6","153","0.7","0.5","70","-2.3","0.7","-1"
"Jyväskylä lentoasema AWOS","2024","3","5","17:00","1034.6","-","1.6","321","1.4","1.1","77","-4.7","-1.7","-3.1"
"Jyväskylä lentoasema AWOS","2024","3","5","18:00","1034.6","-","1.2","249","0.8","0.5","82","-5.2","-3.4","-4.1"
"Jyväskylä lentoasema AWOS","2024","3","5","19:00","1034.9","-","1.2","311","1","0.8","87","-7.2","-4.9","-5.8"
"Jyväskylä lentoasema AWOS","2024","3","5","20:00","1034.9","-","1.3","259","1","0.7","90","-7.5","-5.8","-6.6"
"Jyväskylä lentoasema AWOS","2024","3","5","21:00","1034.9","-","0.9","217","0.8","0.4","92","-8.4","-7.3","-7.9"
"Jyväskylä lentoasema AWOS","2024","3","5","22:00","1034.8","-","1.2","227","0.9","0.5","93","-9.6","-7.8","-8.6"
"Jyväskylä lentoasema AWOS","2024","3","5","23:00","1034.7","-","0.7","167","0.5","0.4","92","-10.1","-8.8","-9.6"
"Jyväskylä lentoasema AWOS","2024","3","6","00:00","1034.8","-","1","203","0.6","0.3","92","-10.6","-9.9","-10.2"
"Jyväskylä lentoasema AWOS","2024","3","6","01:00","1034.6","-","1.1","146","0.9","0.4","90","-11.2","-10.4","-10.9"
"Jyväskylä lentoasema AWOS","2024","3","6","02:00","1034.5","-","1.7","124","1.1","0.9","88","-11.8","-10.8","-11.3"
"Jyväskylä lentoasema AWOS","2024","3","6","03:00","1034.6","-","1.4","208","1.1","0.6","88","-12.5","-11.1","-11.6"
"Jyväskylä lentoasema AWOS","2024","3","6","04:00","1034.4","-","1.9","198","1.5","0.9","88","-12.7","-11","-12.1"
"Jyväskylä lentoasema AWOS","2024","3","6","05:00","1034.1","-","1.4","108","1","0.6","87","-13.1","-12.1","-12.5"
"Jyväskylä lentoasema AWOS","2024","3","6","06:00","1033.8","-","1.8","330","0.9","0.7","86","-13.2","-11.7","-12.5"
"Jyväskylä lentoasema AWOS","2024","3","6","07:00","1033.7","-","3.3","312","2.6","1.5","84","-12.1","-8.2","-10.8"
"Jyväskylä lentoasema AWOS","2024","3","6","08:00","1033.4","-","4.3","311","3.2","2.6","80","-9.5","-5","-7.5"
"Jyväskylä lentoasema AWOS","2024","3","6","09:00","1032.9","-","5.6","325","4.1","3.2","76","-5","-1.2","-2.4"
"Jyväskylä lentoasema AWOS","2024","3","6","10:00","1032.5","-","7.8","326","6.2","5.6","75","-1.5","-0.8","-1.1"
"Jyväskylä lentoasema AWOS","2024","3","6","11:00","1032.5","-","7.2","335","5.7","4.4","69","-1","-0.5","-0.7"
"Jyväskylä lentoasema AWOS","2024","3","6","12:00","1032.3","-","5.7","353","4.4","3.6","65","-1","0","-0.6"
"Jyväskylä lentoasema AWOS","2024","3","6","13:00","1031.8","-","5.2","342","3.9","3.5","60","0","0.4","0.2"
"Jyväskylä lentoasema AWOS","2024","3","6","14:00","1031.6","-","4.8","340","4","3.6","61","0","0.4","0.2"
"Jyväskylä lentoasema AWOS","2024","3","6","15:00","1031.4","-","5.5","343","4.4","3.7","65","-0.7","0","-0.3"
"Jyväskylä lentoasema AWOS","2024","3","6","16:00","1031.4","-","4.6","357","3.6","3.2","71","-2","-0.7","-1.3"
"Jyväskylä lentoasema AWOS","2024","3","6","17:00","1031.4","-","4.8","347","3.3","2.9","80","-3.2","-2","-2.6"
"Jyväskylä lentoasema AWOS","2024","3","6","18:00","1031.4","-","6.4","343","4","3.6","88","-3.4","-3","-3.2"
"Jyväskylä lentoasema AWOS","2024","3","6","19:00","1031.4","-","6.1","352","4.6","3.6","90","-3.3","-3","-3.1"
"Jyväskylä lentoasema AWOS","2024","3","6","20:00","1031.2","-","5.3","337","4.1","3.4","92","-3.5","-3.3","-3.4"
"Jyväskylä lentoasema AWOS","2024","3","6","21:00","1031.1","-","6.1","338","4.7","4.1","94","-3.7","-3.5","-3.6"
"Jyväskylä lentoasema AWOS","2024","3","6","22:00","1031","-","6.1","341","4.4","3.4","96","-4","-3.7","-3.9"
"Jyväskylä lentoasema AWOS","2024","3","6","23:00","1031","-","5.2","339","4","3.1","97","-4","-3.9","-4"
"Jyväskylä lentoasema AWOS","2024","3","7","00:00","1030.9","-","4.9","330","3.9","3.2","97","-4.1","-3.9","-4"
"Jyväskylä lentoasema AWOS","2024","3","7","01:00","1030.7","-","4.8","339","3.6","2.8","97","-4","-3.9","-4"
"Jyväskylä lentoasema AWOS","2024","3","7","02:00","1030.3","-","4.4","323","3.4","2.9","97","-4.1","-4","-4"
"Jyväskylä lentoasema AWOS","2024","3","7","03:00","1030","-","4.2","335","3.4","2.4","97","-4.3","-4","-4.1"
"Jyväskylä lentoasema AWOS","2024","3","7","04:00","1029.8","-","4.7","344","3.4","2.8","96","-4.3","-4.1","-4.2"
"Jyväskylä lentoasema AWOS","2024","3","7","05:00","1029.7","-","4.1","346","3.1","2.4","96","-4.3","-4.2","-4.2"
"Jyväskylä lentoasema AWOS","2024","3","7","06:00","1029.5","-","3.5","2","2.6","1.8","95","-4.5","-4.2","-4.4"
"Jyväskylä lentoasema AWOS","2024","3","7","07:00","1029.5","-","3.1","343","2.1","1.5","96","-4.5","-4.3","-4.4"
"Jyväskylä lentoasema AWOS","2024","3","7","08:00","1029.3","-","3.2","315","2.5","1.8","95","-4.6","-4.3","-4.5"
"Jyväskylä lentoasema AWOS","2024","3","7","09:00","1029","-","2.9","347","1.6","1.4","95","-4.6","-3.8","-4.4"
"Jyväskylä lentoasema AWOS","2024","3","7","10:00","1028.8","-","3","294","1.7","1.1","93","-4.3","-4","-4.2"
"Jyväskylä lentoasema AWOS","2024","3","7","11:00","1028.3","-","2.7","329","1.6","1.1","93","-4.1","-3.6","-3.8"
"Jyväskylä lentoasema AWOS","2024","3","7","12:00","1027.9","-","3.6","306","2.6","2.1","90","-3.8","-3","-3.5"
"Jyväskylä lentoasema AWOS","2024","3","7","13:00","1027.6","-","4.1","310","2.7","2.1","87","-3.3","-2.8","-3.1"
"Jyväskylä lentoasema AWOS","2024","3","7","14:00","1027.2","-","4.7","308","3.2","2.7","90","-3.2","-2.8","-3.1"
"Jyväskylä lentoasema AWOS","2024","3","7","15:00","1026.8","-","4.8","317","3.2","2.7","90","-3.3","-3","-3.1"
"Jyväskylä lentoasema AWOS","2024","3","7","16:00","1026.4","-","4.8","323","3.5","2.9","92","-3.8","-3.2","-3.5"
"Jyväskylä lentoasema AWOS","2024","3","7","17:00","1026.4","-","4.9","324","3.8","3.2","94","-4.3","-3.7","-4"
"Jyväskylä lentoasema AWOS","2024","3","7","18:00","1026.4","-","5.3","325","3.9","3.4","95","-4.6","-4.1","-4.4"
"Jyväskylä lentoasema AWOS","2024","3","7","19:00","1026.5","-","4.9","334","3.9","3.3","96","-4.6","-4.3","-4.4"
"Jyväskylä lentoasema AWOS","2024","3","7","20:00","1026.6","-","5.8","332","4.6","3.8","96","-4.5","-4.3","-4.4"
"Jyväskylä lentoasema AWOS","2024","3","7","21:00","1026.5","-","5.8","339","4.1","3.6","96","-4.6","-4.4","-4.5"
"Jyväskylä lentoasema AWOS","2024","3","7","22:00","1026.1","-","5.1","342","3.7","2.9","96","-4.7","-4.5","-4.6"
"Jyväskylä lentoasema AWOS","2024","3","7","23:00","1026.1","-","5.8","341","4.5","3.8","96","-4.9","-4.7","-4.8"
"Jyväskylä lentoasema AWOS","2024","3","8","00:00","1026.1","-","5.3","346","4.1","3.4","96","-4.9","-4.8","-4.9"
"Jyväskylä lentoasema AWOS","2024","3","8","01:00","1026.1","-","5.2","357","3.8","3.2","96","-5.1","-4.8","-4.9"
"Jyväskylä lentoasema AWOS","2024","3","8","02:00","1026.3","-","4.9","351","3.9","2.9","95","-5.2","-5","-5.1"
"Jyväskylä lentoasema AWOS","2024","3","8","03:00","1026.4","-","4.4","357","3.1","2.7","95","-5.2","-5.1","-5.1"
"Jyväskylä lentoasema AWOS","2024","3","8","04:00","1026.5","-","4.3","353","2.9","2.5","95","-5.3","-5.2","-5.2"
"Jyväskylä lentoasema AWOS","2024","3","8","05:00","1026.6","-","4.1","343","2.7","2.4","95","-5.3","-5.2","-5.2"
"Jyväskylä lentoasema AWOS","2024","3","8","06:00","1026.8","-","3.3","354","2.4","2.1","94","-5.3","-5.1","-5.2"
"Jyväskylä lentoasema AWOS","2024","3","8","07:00","1026.9","-","3.6","359","2.5","2.2","94","-5.1","-4.7","-4.9"
"Jyväskylä lentoasema AWOS","2024","3","8","08:00","1027","-","3.6","3","2.6","2.3","94","-4.7","-4.1","-4.4"
"Jyväskylä lentoasema AWOS","2024","3","8","09:00","1027.1","-","3.5","360","2.7","2.3","93","-4.2","-3.4","-3.9"
"Jyväskylä lentoasema AWOS","2024","3","8","10:00","1027.2","-","4.3","360","2.9","2.4","91","-3.5","-2.4","-3"
"Jyväskylä lentoasema AWOS","2024","3","8","11:00","1027.1","-","4.4","7","3.1","2.9","85","-2.5","-1.6","-2.1"
"Jyväskylä lentoasema AWOS","2024","3","8","12:00","1027","-","5.9","11","4.1","3.3","77","-1.9","-1.6","-1.8"
"Jyväskylä lentoasema AWOS","2024","3","8","13:00","1027","-","5.2","23","3.7","2.6","75","-1.9","-1.6","-1.8"
"Jyväskylä lentoasema AWOS","2024","3","8","14:00","1027","-","3.9","50","2.4","1.9","73","-1.7","-1.2","-1.4"
"Jyväskylä lentoasema AWOS","2024","3","8","15:00","1026.6","-","5.5","25","3.5","2.5","71","-1.2","-1","-1.1"
"Jyväskylä lentoasema AWOS","2024","3","8","16:00","1026.3","-","3.7","8","3","2.1","71","-1.2","-1","-1.1"
"Jyväskylä lentoasema AWOS","2024","3","8","17:00","1026.1","-","4","7","2.8","2.2","71","-1.2","-1.1","-1.2"
"Jyväskylä lentoasema AWOS","2024","3","8","18:00","1026.1","-","3.9","5","2.6","2.1","71","-1.4","-1.1","-1.3"
"Jyväskylä lentoasema AWOS","2024","3","8","19:00","1026.1","-","3.2","339","2.1","1.5","74","-1.8","-1.3","-1.5"
"Jyväskylä lentoasema AWOS","2024","3","8","20:00","1026.2","-","2.6","334","2","1.5","78","-2","-1.8","-1.9"
"Jyväskylä lentoasema AWOS","2024","3","8","21:00","1026.1","-","2.7","337","2","1.5","78","-2.1","-1.9","-2"
"Jyväskylä lentoasema AWOS","2024","3","8","22:00","1025.8","-","2.6","340","1.9","1.6","79","-2.3","-2","-2.2"
"Jyväskylä lentoasema AWOS","2024","3","8","23:00","1025.6","-","3","345","2.1","1.9","79","-2.5","-2.2","-2.3"
"Jyväskylä lentoasema AWOS","2024","3","9","00:00","1025.4","-","2.9","329","2.2","2","82","-3.1","-2.4","-2.7"
"Jyväskylä lentoasema AWOS","2024","3","9","01:00","1025.2","-","2.2","310","1.9","1.6","84","-3.2","-3","-3.1"
"Jyväskylä lentoasema AWOS","2024","3","9","02:00","1025","-","2.5","312","1.9","1.7","85","-3.4","-3.1","-3.3"
"Jyväskylä lentoasema AWOS","2024","3","9","03:00","1024.9","-","3.3","326","2.3","1.8","84","-3.5","-3.1","-3.3"
"Jyväskylä lentoasema AWOS","2024","3","9","04:00","1024.7","-","3.7","332","2.9","2.5","82","-3.5","-3.1","-3.3"
"Jyväskylä lentoasema AWOS","2024","3","9","05:00","1024.6","-","3.8","327","3.1","2.6","83","-3.6","-3.3","-3.5"
"Jyväskylä lentoasema AWOS","2024","3","9","06:00","1024.8","-","4.2","338","3.1","2.6","80","-3.5","-3.3","-3.4"
"Jyväskylä lentoasema AWOS","2024","3","9","07:00","1024.9","-","5.3","349","3.8","2.8","76","-3.4","-3.2","-3.3"
"Jyväskylä lentoasema AWOS","2024","3","9","08:00","1025","-","5.6","354","4","3.4","78","-3.3","-3","-3.2"
"Jyväskylä lentoasema AWOS","2024","3","9","09:00","1025","-","5.4","2","4","3.4","75","-3.1","-2.5","-2.9"
"Jyväskylä lentoasema AWOS","2024","3","9","10:00","1025","-","5.1","5","3.7","3.4","68","-2.6","-2.2","-2.4"
"Jyväskylä lentoasema AWOS","2024","3","9","11:00","1025.1","-","5.9","358","4.2","3.8","62","-2.3","-2","-2.2"
"Jyväskylä lentoasema AWOS","2024","3","9","12:00","1025.1","-","5.7","12","4.2","3.4","60","-2.3","-1.8","-2.1"
"Jyväskylä lentoasema AWOS","2024","3","9","13:00","1025","-","5.5","7","4","3.6","57","-1.9","-1.2","-1.5"
"Jyväskylä lentoasema AWOS","2024","3","9","14:00","1025.1","-","6.3","13","4.3","3.9","57","-1.5","-1.1","-1.4"
"Jyväskylä lentoasema AWOS","2024","3","9","15:00","1024.9","-","4.5","1","3.7","2.5","58","-1.4","-0.9","-1.3"
"Jyväskylä lentoasema AWOS","2024","3","9","16:00","1024.7","-","2.4","325","1.8","1.3","61","-1.7","-1.1","-1.3"
"Jyväskylä lentoasema AWOS","2024","3","9","17:00","1024.6","-","2.2","292","1.8","1.4","66","-2.6","-1.6","-2"
"Jyväskylä lentoasema AWOS","2024","3","9","18:00","1024.8","-","2.3","290","1.9","1.7","73","-5.3","-2.5","-4.1"
"Jyväskylä lentoasema AWOS","2024","3","9","19:00","1025","-","3","320","2.3","2.1","76","-6.8","-3.3","-5.2"
"Jyväskylä lentoasema AWOS","2024","3","9","20:00","1025.3","-","2.6","309","2.3","1.7","79","-7.2","-5.7","-6.5"
"Jyväskylä lentoasema AWOS","2024","3","9","21:00","1025.3","-","2.3","336","1.4","1.1","82","-8.1","-5.5","-7"
"Jyväskylä lentoasema AWOS","2024","3","9","22:00","1025.3","-","3.2","303","2.5","2.1","80","-7.8","-5.7","-6.2"
"Jyväskylä lentoasema AWOS","2024","3","9","23:00","1025.3","-","3.9","319","2.8","2.4","81","-6.2","-5.1","-5.7"
"Jyväskylä lentoasema AWOS","2024","3","10","00:00","1025.4","-","3.6","309","2.7","2.4","84","-7.1","-6.2","-6.7"
"Jyväskylä lentoasema AWOS","2024","3","10","01:00","1025.4","-","4","303","3.3","2.7","86","-6.6","-5.7","-6.2"
"Jyväskylä lentoasema AWOS","2024","3","10","02:00","1025.4","-","4.2","303","3.3","3","86","-7","-5.9","-6.6"
"Jyväskylä lentoasema AWOS","2024","3","10","03:00","1025.4","-","3.8","307","3.1","2.9","86","-6.4","-4.8","-5.6"
"Jyväskylä lentoasema AWOS","2024","3","10","04:00","1025.4","-","3.2","300","2.8","2.2","86","-5.2","-4.7","-5"
"Jyväskylä lentoasema AWOS","2024","3","10","05:00","1025.4","-","3.4","305","2.5","1.9","86","-5","-4.6","-4.8"
"Jyväskylä lentoasema AWOS","2024","3","10","06:00","1025.6","-","3.6","301","2.4","2.1","86","-4.8","-4","-4.5"
"Jyväskylä lentoasema AWOS","2024","3","10","07:00","1025.8","-","3.2","302","2.4","2.1","84","-4.1","-3.3","-3.8"
"Jyväskylä lentoasema AWOS","2024","3","10","08:00","1025.8","-","3.5","306","2.6","2.3","82","-3.5","-2.2","-2.9"
"Jyväskylä lentoasema AWOS","2024","3","10","09:00","1026","-","4","311","3","2.6","79","-2.3","-1.3","-1.9"
"Jyväskylä lentoasema AWOS","2024","3","10","10:00","1025.9","-","4.2","310","2.8","2.5","75","-1.4","-0.1","-0.7"
"Jyväskylä lentoasema AWOS","2024","3","10","11:00","1025.8","-","4.2","310","2.9","2.5","72","-0.1","0.7","0.3"
"Jyväskylä lentoasema AWOS","2024","3","10","12:00","1025.5","-","4.1","300","2.9","2.7","65","0.7","2.1","1.5"
"Jyväskylä lentoasema AWOS","2024","3","10","13:00","1025.2","-","5.7","300","3.5","3","61","1.9","2.6","2.3"
"Jyväskylä lentoasema AWOS","2024","3","10","14:00","1025","-","5.1","297","3.6","3.2","57","2.2","3.1","2.8"
"Jyväskylä lentoasema AWOS","2024","3","10","15:00","1024.9","-","6","293","4.1","3.6","57","2.3","3.1","2.7"
"Jyväskylä lentoasema AWOS","2024","3","10","16:00","1024.8","-","5.4","290","3.7","3.4","59","1.9","2.6","2.3"
"Jyväskylä lentoasema AWOS","2024","3","10","17:00","1025","-","5.3","284","3.8","3.5","65","1","2","1.5"
"Jyväskylä lentoasema AWOS","2024","3","10","18:00","1025.3","-","5.8","286","3.9","3.4","69","0.5","1.2","0.8"
"Jyväskylä lentoasema AWOS","2024","3","10","19:00","1025.4","-","5.9","283","3.8","3.3","73","0.1","0.6","0.4"
"Jyväskylä lentoasema AWOS","2024","3","10","20:00","1025.4","-","5.7","292","3.7","3","76","-0.5","0.2","-0.2"
"Jyväskylä lentoasema AWOS","2024","3","10","21:00","1025.4","-","4.2","296","2.8","2.6","77","-0.7","-0.3","-0.5"
"Jyväskylä lentoasema AWOS","2024","3","10","22:00","1025.4","-","5.2","285","3.5","3.1","75","-0.9","-0.4","-0.7"
"Jyväskylä lentoasema AWOS","2024","3","10","23:00","1025.4","-","4.9","278","3.6","3.3","71","-0.7","-0.4","-0.6"
"Jyväskylä lentoasema AWOS","2024","3","11","00:00","1025.4","-","4.1","270","3","2.6","71","-1.1","-0.6","-0.7"
"Jyväskylä lentoasema AWOS","2024","3","11","01:00","1025.6","-","3.5","270","2.6","2.4","75","-2.6","-1","-1.8"
"Jyväskylä lentoasema AWOS","2024","3","11","02:00","1025.7","-","3.5","273","2.4","2.1","78","-4.2","-2","-2.8"
"Jyväskylä lentoasema AWOS","2024","3","11","03:00","1025.9","-","2","285","1.5","0.8","86","-6","-3.4","-4.9"
"Jyväskylä lentoasema AWOS","2024","3","11","04:00","1025.9","-","1.6","6","1.3","0.9","91","-7.3","-5.5","-6.1"
"Jyväskylä lentoasema AWOS","2024","3","11","05:00","1026","-","2.6","326","2.3","1.7","93","-7.9","-6.2","-7.1"
"Jyväskylä lentoasema AWOS","2024","3","11","06:00","1025.9","-","2.3","310","1.8","1.2","90","-7.7","-6.3","-7.1"
"Jyväskylä lentoasema AWOS","2024","3","11","07:00","1026.1","-","3.7","323","2.8","2","88","-6.7","-5.1","-6"
"Jyväskylä lentoasema AWOS","2024","3","11","08:00","1026.2","-","3.3","302","2.8","2","83","-5.8","-3.2","-4.5"
"Jyväskylä lentoasema AWOS","2024","3","11","09:00","1026.2","-","4.7","303","3.6","2.7","77","-3.3","-1.7","-2.6"
"Jyväskylä lentoasema AWOS","2024","3","11","10:00","1026.1","-","4.8","297","3.5","3","71","-1.7","-0.6","-1.2"
"Jyväskylä lentoasema AWOS","2024","3","11","11:00","1026","-","5.4","298","4.1","3.3","66","-0.6","0.7","0"
"Jyväskylä lentoasema AWOS","2024","3","11","12:00","1025.8","-","5.7","303","3.7","3.1","59","0.6","1.9","1.2"
"Jyväskylä lentoasema AWOS","2024","3","11","13:00","1025.5","-","6.3","287","4.5","3.3","55","1.2","2.5","1.9"
"Jyväskylä lentoasema AWOS","2024","3","11","14:00","1025.3","-","5.5","300","3.8","3","53","1.3","2.5","2.1"
"Jyväskylä lentoasema AWOS","2024","3","11","15:00","1025.1","-","4.3","266","3","2.6","53","1","2.4","1.9"
"Jyväskylä lentoasema AWOS","2024","3","11","16:00","1025.1","-","3.3","268","2.4","1.6","60","-1.8","1.9","0.1"
"Jyväskylä lentoasema AWOS","2024","3","11","17:00","1025.3","-","1.5","243","1.1","0.7","74","-3.2","-1.9","-2.7"
"Jyväskylä lentoasema AWOS","2024","3","11","18:00","1025.4","-","0.8","236","0.6","0.3","81","-5.1","-3.2","-4.2"
"Jyväskylä lentoasema AWOS","2024","3","11","19:00","1025.4","-","0.5","172","0.3","0.2","86","-6.3","-4.8","-5.4"
"Jyväskylä lentoasema AWOS","2024","3","11","20:00","1025.6","-","1.1","301","0.8","0.5","89","-7.8","-6.1","-6.7"
"Jyväskylä lentoasema AWOS","2024","3","11","21:00","1025.7","-","0.7","259","0.4","0.3","90","-8.5","-6.7","-7.5"
"Jyväskylä lentoasema AWOS","2024","3","11","22:00","1025.8","-","0.4","231","0.3","0.2","92","-8.8","-7.8","-8.4"
"Jyväskylä lentoasema AWOS","2024","3","11","23:00","1025.9","-","0.5","248","0.3","0.2","93","-9.5","-8.6","-9.1"
"Jyväskylä lentoasema AWOS","2024","3","12","00:00","1025.8","-","0.8","251","0.7","0.4","91","-10.5","-9.3","-9.6"
"Jyväskylä lentoasema AWOS","2024","3","12","01:00","1025.7","-","0.9","205","0.7","0.5","91","-11","-10.1","-10.6"
"Jyväskylä lentoasema AWOS","2024","3","12","02:00","1025.5","-","0.5","215","0.4","0.3","91","-11.8","-11","-11.4"
"Jyväskylä lentoasema AWOS","2024","3","12","03:00","1025.1","-","0.6","230","0.5","0.4","90","-12.5","-11.8","-12.1"
"Jyväskylä lentoasema AWOS","2024","3","12","04:00","1025","-","0.7","244","0.5","0.3","89","-13.3","-11.9","-12.7"
"Jyväskylä lentoasema AWOS","2024","3","12","05:00","1024.7","-","0.9","189","0.7","0.5","88","-14.1","-13.3","-13.6"
"Jyväskylä lentoasema AWOS","2024","3","12","06:00","1024.4","-","0.8","252","0.4","0.2","87","-14","-10.8","-12.9"
"Jyväskylä lentoasema AWOS","2024","3","12","07:00","1024.4","-","1.4","118","1.3","0.8","84","-12.1","-8.7","-10.6"
"Jyväskylä lentoasema AWOS","2024","3","12","08:00","1023.9","-","2.1","130","1.9","1.6","83","-8.7","-6.5","-7.9"
"Jyväskylä lentoasema AWOS","2024","3","12","09:00","1023.4","-","2.9","127","2.6","2.4","76","-6.5","-3.2","-4.6"
"Jyväskylä lentoasema AWOS","2024","3","12","10:00","1022.7","-","5.5","147","3.4","3","65","-3.1","0.3","-1.1"
"Jyväskylä lentoasema AWOS","2024","3","12","11:00","1022.2","-","5.6","189","4.1","3.2","58","0.1","2.4","1.2"
"Jyväskylä lentoasema AWOS","2024","3","12","12:00","1021.6","-","5.1","181","3.7","3","52","1.6","3.1","2"
"Jyväskylä lentoasema AWOS","2024","3","12","13:00","1020.9","-","6.4","147","4.9","4.1","52","1.9","2.7","2.4"
"Jyväskylä lentoasema AWOS","2024","3","12","14:00","1020.4","-","6.5","155","5.2","4.1","53","2","2.4","2.2"
"Jyväskylä lentoasema AWOS","2024","3","12","15:00","1019.9","-","6.5","180","5","3.7","50","1.7","2.3","2"
"Jyväskylä lentoasema AWOS","2024","3","12","16:00","1019.5","-","4.5","171","3.4","2.5","54","0.5","2","1.3"
"Jyväskylä lentoasema AWOS","2024","3","12","17:00","1019.6","-","2.3","165","2.5","1.6","69","-3","0.5","-1.6"
"Jyväskylä lentoasema AWOS","2024","3","12","18:00","1019.4","-","2.2","157","1.9","1.1","82","-4.2","-3","-3.7"
"Jyväskylä lentoasema AWOS","2024","3","12","19:00","1019.1","-","1.5","137","0.9","0.6","86","-5.6","-4.1","-4.9"
"Jyväskylä lentoasema AWOS","2024","3","12","20:00","1019","-","1.2","146","1","0.4","90","-6.6","-5.4","-6"
"Jyväskylä lentoasema AWOS","2024","3","12","21:00","1018.9","-","1.3","124","0.8","0.5","89","-7.5","-6.2","-6.7"
"Jyväskylä lentoasema AWOS","2024","3","12","22:00","1018.7","-","2.5","145","2.3","1.5","94","-8.3","-7.3","-7.7"
"Jyväskylä lentoasema AWOS","2024","3","12","23:00","1018.4","-","1.9","135","1.9","0.6","95","-8.7","-7.6","-8.1"
"Jyväskylä lentoasema AWOS","2024","3","13","00:00","1018.1","-","0.8","329","0.5","0.3","91","-9.6","-8.5","-8.9"
"Jyväskylä lentoasema AWOS","2024","3","13","01:00","1017.9","-","0.8","312","0.6","0.4","90","-10.3","-9.4","-9.9"
"Jyväskylä lentoasema AWOS","2024","3","13","02:00","1017.7","-","1.1","147","0.7","0.4","91","-11.3","-9.5","-10.6"
"Jyväskylä lentoasema AWOS","2024","3","13","03:00","1017.4","-","0.8","149","0.7","0.3","90","-11.5","-10.7","-11.2"
"Jyväskylä lentoasema AWOS","2024","3","13","04:00","1017.1","-","1","189","0.7","0.4","90","-12","-11.1","-11.6"
"Jyväskylä lentoasema AWOS","2024","3","13","05:00","1016.9","-","1.2","120","0.9","0.6","88","-11.9","-10.2","-11.3"
"Jyväskylä lentoasema AWOS","2024","3","13","06:00","1016.6","-","2.2","123","1.9","1.6","88","-10.1","-8.5","-9.6"
"Jyväskylä lentoasema AWOS","2024","3","13","07:00","1016.1","-","3.9","142","3.3","1.9","88","-8.5","-6.4","-7.9"
"Jyväskylä lentoasema AWOS","2024","3","13","08:00","1015.9","-","3.2","161","2.3","1.4","81","-6.2","-3.9","-4.7"
"Jyväskylä lentoasema AWOS","2024","3","13","09:00","1015.4","-","5","181","3.5","3","73","-3.7","-1","-2.4"
"Jyväskylä lentoasema AWOS","2024","3","13","10:00","1014.9","-","5.1","187","3.5","2.8","66","-1","2.1","0.4"
"Jyväskylä lentoasema AWOS","2024","3","13","11:00","1014.6","-","5.3","187","4","3","63","2.1","3.2","2.7"
"Jyväskylä lentoasema AWOS","2024","3","13","12:00","1014.4","-","6.9","197","4.8","3.9","67","2.3","3.3","2.8"
