"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Lämpötilan keskiarvo [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]","Keskituulen nopeus [m/s]","Suhteellisen kosteuden keskiarvo [%]","Kovin keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Kovin puuska [m/s]","Tunnin sademäärä [mm]","Ilmanpaineen keskiarvo [hPa]"
"Jyväskylä lentoasema","2024","3","5","18:00","-4.9","-3.5","-5.8","-","87","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","19:00","-6.1","-4.7","-7.2","-","91","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","20:00","-7.1","-6.4","-8","-","94","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","21:00","-7.9","-7.3","-8.6","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","22:00","-8.6","-8.3","-9.2","-","95","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","5","23:00","-9.6","-8.9","-10.1","-","95","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","00:00","-10.2","-9.8","-10.7","-","95","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","01:00","-10.5","-10.2","-10.8","-","93","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","02:00","-11","-10.7","-11.9","-","92","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","03:00","-11.4","-11","-11.7","-","92","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","04:00","-11.3","-10.4","-11.8","-","92","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","05:00","-10.8","-8.5","-12.1","-","93","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","06:00","-11.4","-8.7","-12.5","-","89","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","07:00","-7.4","-4","-10.8","-","89","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","08:00","-4.2","-3.1","-5.1","-","83","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","09:00","-2.9","-1.7","-4.3","-","81","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","10:00","-1.6","-1.1","-2.3","-","78","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","11:00","-1.1","-0.7","-1.3","-","72","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","12:00","-1","-0.4","-1.4","-","70","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","13:00","-0.4","-0.2","-0.6","-","66","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","14:00","-0.6","-0.3","-1","-","69","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","15:00","-1.2","-0.8","-1.7","-","72","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","16:00","-2.3","-1.5","-3","-","77","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","17:00","-3.9","-2.9","-4.6","-","85","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","18:00","-4","-3.4","-5.2","-","91","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","19:00","-3.5","-3.4","-3.6","-","94","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","20:00","-3.7","-3.5","-3.9","-","95","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","21:00","-4","-3.9","-4.1","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","22:00","-4.2","-4","-4.2","-","97","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","6","23:00","-4.2","-4.1","-4.2","-","98","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","00:00","-4.2","-4.1","-4.3","-","98","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","01:00","-4.2","-4.2","-4.3","-","98","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","02:00","-4.2","-4.2","-4.3","-","98","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","03:00","-4.3","-4.3","-4.4","-","97","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","04:00","-4.4","-4.3","-4.5","-","97","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","05:00","-4.5","-4.4","-4.6","-","97","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","06:00","-4.6","-4.5","-4.7","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","07:00","-4.6","-4.5","-4.7","-","97","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","08:00","-4.6","-4.5","-4.7","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","09:00","-4.4","-4.3","-4.6","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","10:00","-4.2","-4.1","-4.4","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","11:00","-3.9","-3.6","-4.2","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","12:00","-3.6","-3.3","-3.8","-","94","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","13:00","-3.3","-3","-3.7","-","92","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","14:00","-3.2","-3.1","-3.4","-","93","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","15:00","-3.3","-3","-3.6","-","93","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","16:00","-3.8","-3.5","-4.1","-","94","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","17:00","-4.2","-3.9","-4.5","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","18:00","-4.5","-4.4","-4.7","-","97","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","19:00","-4.6","-4.5","-4.7","-","98","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","20:00","-4.6","-4.5","-4.7","-","97","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","21:00","-4.7","-4.6","-4.8","-","97","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","22:00","-4.8","-4.7","-4.9","-","97","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","7","23:00","-5","-4.9","-5","-","97","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","00:00","-5","-4.9","-5.1","-","97","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","01:00","-5.1","-5","-5.2","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","02:00","-5.3","-5.2","-5.3","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","03:00","-5.3","-5.3","-5.4","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","04:00","-5.4","-5.3","-5.4","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","05:00","-5.4","-5.4","-5.5","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","06:00","-5.4","-5.3","-5.5","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","07:00","-5.1","-4.9","-5.3","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","08:00","-4.6","-4.3","-4.9","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","09:00","-4","-3.6","-4.3","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","10:00","-3.3","-3","-3.6","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","11:00","-2.8","-2.5","-3.1","-","93","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","12:00","-2.1","-1.9","-2.6","-","83","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","13:00","-2","-1.9","-2.2","-","78","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","14:00","-1.6","-1.4","-1.9","-","77","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","15:00","-1.4","-1.3","-1.5","-","74","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","16:00","-1.4","-1.3","-1.6","-","76","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","17:00","-1.5","-1.3","-1.6","-","76","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","18:00","-1.7","-1.4","-1.9","-","76","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","19:00","-2.1","-1.8","-2.4","-","80","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","20:00","-2.4","-2.1","-2.6","-","83","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","21:00","-2.6","-2.4","-2.8","-","84","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","22:00","-2.7","-2.4","-2.9","-","84","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","8","23:00","-2.8","-2.6","-3","-","84","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","00:00","-3","-2.9","-3.2","-","84","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","01:00","-3","-2.8","-3.1","-","83","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","02:00","-3.3","-3","-3.5","-","85","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","03:00","-3.5","-3.4","-3.7","-","86","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","04:00","-3.7","-3.5","-3.8","-","86","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","05:00","-3.8","-3.6","-3.9","-","85","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","06:00","-3.8","-3.6","-4.1","-","84","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","07:00","-3.6","-3.4","-3.8","-","80","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","08:00","-3.4","-3.2","-3.6","-","80","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","09:00","-3.1","-2.9","-3.3","-","77","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","10:00","-2.7","-2.5","-2.9","-","73","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","11:00","-2.6","-2.5","-2.7","-","66","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","12:00","-2.4","-2.2","-2.6","-","63","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","13:00","-1.9","-1.8","-2.2","-","62","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","14:00","-1.7","-1.6","-1.9","-","62","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","15:00","-1.9","-1.7","-2.4","-","64","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","16:00","-2","-1.8","-2.2","-","68","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","17:00","-2.5","-2","-3.3","-","69","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","18:00","-5","-3.4","-6.1","-","77","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","19:00","-5.7","-4.9","-6.5","-","78","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","20:00","-4.4","-3.7","-6.3","-","73","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","21:00","-6.1","-5.2","-7.3","-","79","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","22:00","-4.7","-4.1","-6.7","-","78","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","9","23:00","-4.9","-4.2","-5.7","-","81","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","00:00","-4.9","-4.5","-5.8","-","84","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","01:00","-4.8","-4.6","-4.9","-","85","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","02:00","-5.2","-4.9","-5.6","-","87","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","03:00","-5","-4.9","-5.3","-","87","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","04:00","-4.7","-4.5","-4.9","-","86","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","05:00","-4.5","-4.3","-4.9","-","86","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","06:00","-4.1","-3.9","-4.5","-","85","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","07:00","-3.5","-3.2","-3.9","-","83","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","08:00","-2.7","-2.1","-3.4","-","82","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","09:00","-1.7","-1.2","-2.1","-","79","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","10:00","-0.5","0.2","-1.2","-","74","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","11:00","0.5","1.2","0","-","71","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","12:00","1.7","2.2","1.1","-","65","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","13:00","2.5","2.9","2.2","-","59","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","14:00","2.9","3","2.7","-","57","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","15:00","2.6","2.8","2.3","-","58","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","16:00","2.1","2.4","1.7","-","63","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","17:00","1.3","1.7","0.9","-","68","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","18:00","0.6","0.9","0.3","-","73","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","19:00","0.2","0.4","0","-","75","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","20:00","-0.2","0","-0.5","-","77","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","21:00","-0.5","-0.4","-0.7","-","76","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","22:00","-0.6","-0.5","-0.7","-","75","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","10","23:00","-0.6","-0.6","-0.7","-","73","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","00:00","-0.8","-0.7","-1.1","-","73","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","01:00","-1.8","-1.1","-2.3","-","77","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","02:00","-2.8","-2.4","-3.5","-","81","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","03:00","-5","-3.5","-5.9","-","90","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","04:00","-5.8","-5.3","-6.6","-","93","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","05:00","-6.3","-6","-7","-","94","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","06:00","-7.3","-5.7","-8.4","-","92","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","07:00","-5.9","-5","-6.9","-","90","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","08:00","-4","-3","-5.1","-","83","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","09:00","-2.3","-1.5","-3","-","76","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","10:00","-1.1","-0.6","-1.7","-","71","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","11:00","0","0.8","-0.6","-","66","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","12:00","1.2","2","0.4","-","61","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","14:00","2.3","2.7","1.6","-","53","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","15:00","2","2.4","1.4","-","54","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","16:00","-0.3","1.4","-1.5","-","64","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","17:00","-2.1","-1.5","-4.4","-","71","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","18:00","-4.9","-4.3","-5.8","-","85","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","19:00","-5.6","-4.8","-6.5","-","89","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","20:00","-7.1","-6.5","-7.6","-","93","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","21:00","-8","-7.2","-8.3","-","94","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","22:00","-8.8","-8.3","-9.2","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","11","23:00","-9.3","-8.9","-9.7","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","00:00","-10.2","-9.7","-10.7","-","94","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","01:00","-10.8","-10.4","-11.1","-","93","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","02:00","-11.3","-10.7","-11.7","-","93","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","03:00","-11.9","-11.6","-12.7","-","92","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","04:00","-12.5","-12","-13","-","91","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","05:00","-13","-12","-13.5","-","90","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","06:00","-12.6","-11.2","-13.3","-","90","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","07:00","-10.6","-9","-12","-","88","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","08:00","-8.1","-6.3","-9.3","-","87","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","09:00","-4.8","-2.9","-6.3","-","79","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","10:00","-0.9","0.6","-3.1","-","65","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","11:00","1.8","2.7","0.5","-","55","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","12:00","2.8","3.5","2.3","-","51","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","13:00","2.7","3.4","2.4","-","52","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","14:00","2.6","3.3","2.3","-","52","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","15:00","2.4","2.9","1.7","-","51","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","16:00","0.4","1.5","-1.1","-","59","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","17:00","-1.8","-1.2","-2.6","-","70","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","18:00","-3.3","-2.6","-4","-","77","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","19:00","-4.7","-4","-5.1","-","85","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","20:00","-5.6","-5.1","-6.4","-","88","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","21:00","-6.5","-5.7","-7.4","-","91","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","22:00","-6","-5.8","-6.2","-","92","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","12","23:00","-6.9","-5.9","-9.2","-","92","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","00:00","-8.6","-8","-9.5","-","94","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","01:00","-9.6","-9.2","-10.3","-","95","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","02:00","-10.2","-9.4","-11.1","-","94","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","03:00","-10.8","-10.2","-11.2","-","94","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","04:00","-11","-10.5","-11.6","-","93","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","05:00","-10.7","-9.6","-11.1","-","92","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","06:00","-9.1","-8.5","-9.6","-","91","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","07:00","-7.9","-6.1","-8.8","-","91","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","08:00","-4.4","-2.7","-6.6","-","83","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","09:00","-2.2","-0.7","-3.2","-","74","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","10:00","1.3","2.9","-0.8","-","65","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","11:00","2.8","3.3","2.3","-","64","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","12:00","2.8","3.4","2.2","-","68","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","13:00","2.3","2.4","2.2","-","75","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","14:00","2.3","2.5","1.8","-","75","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","15:00","1.8","2","1.5","-","75","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","16:00","1.3","1.5","1","-","75","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","17:00","0.7","1","0.5","-","80","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","18:00","0.7","0.9","0.6","-","78","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","19:00","0.5","0.7","0.4","-","79","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","20:00","0.4","0.5","0.3","-","83","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","21:00","0","0.4","-0.2","-","92","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","13","22:00","-0.2","0","-0.2","-","97","-","-","-","0.1","-"
"Jyväskylä lentoasema","2024","3","13","23:00","0.1","0.2","-0.1","-","98","-","-","-","0.2","-"
"Jyväskylä lentoasema","2024","3","14","00:00","0.4","0.5","0.2","-","99","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","14","01:00","0.6","0.7","0.5","-","98","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","14","02:00","0.6","0.7","0.5","-","98","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","14","03:00","0.6","0.7","0.6","-","98","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","14","04:00","0.7","0.7","0.6","-","98","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","14","05:00","0.8","0.8","0.7","-","98","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","14","06:00","0.9","1","0.7","-","98","-","-","-","0.1","-"
"Jyväskylä lentoasema","2024","3","14","07:00","1.1","1.3","0.9","-","97","-","-","-","0.2","-"
"Jyväskylä lentoasema","2024","3","14","08:00","1.5","1.7","1.4","-","96","-","-","-","0.3","-"
"Jyväskylä lentoasema","2024","3","14","09:00","1.9","1.9","1.7","-","95","-","-","-","0.4","-"
"Jyväskylä lentoasema","2024","3","14","10:00","1.9","2.1","1.8","-","97","-","-","-","0.3","-"
"Jyväskylä lentoasema","2024","3","14","11:00","2.4","2.7","2","-","96","-","-","-","0.1","-"
"Jyväskylä lentoasema","2024","3","14","12:00","2.7","2.8","2.6","-","96","-","-","-","0.1","-"
"Jyväskylä lentoasema","2024","3","14","13:00","2.9","3.1","2.8","-","96","-","-","-","0.2","-"
"Jyväskylä lentoasema","2024","3","14","14:00","3.1","3.2","3","-","95","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","14","15:00","3","3.1","2.9","-","96","-","-","-","0.1","-"
"Jyväskylä lentoasema","2024","3","14","16:00","2.9","3","2.8","-","96","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","14","17:00","2.8","2.9","2.7","-","98","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","14","18:00","2.9","3.1","2.7","-","98","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","14","19:00","3.2","3.4","3","-","98","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","14","20:00","3.5","3.7","3.3","-","97","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","14","21:00","3.7","3.9","3.6","-","95","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","14","22:00","4","4.1","3.8","-","94","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","14","23:00","4.2","4.3","4","-","93","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","15","00:00","4.3","4.4","4.1","-","91","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","15","01:00","4.2","4.3","4.1","-","91","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","15","02:00","4.1","4.2","4","-","90","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","15","03:00","4","4.1","3.8","-","90","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","15","04:00","3.7","3.9","3.6","-","88","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","15","05:00","3.6","3.7","3.5","-","88","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","15","06:00","3.5","3.5","3.4","-","87","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","15","07:00","3.6","3.7","3.4","-","86","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","15","08:00","3.9","4.1","3.7","-","83","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","15","09:00","4.3","5.2","4","-","80","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","15","10:00","5.6","6","5.1","-","73","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","15","11:00","6.7","7.6","6","-","67","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","15","12:00","7.2","8.1","6.8","-","64","-","-","-","0","-"
"Jyväskylä lentoasema","2024","3","15","13:00","7.6","8.2","7.2","-","63","-","-","-","0","-"
